POA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6012,..,49,67,10,4,9,3,6,0,148,..,47,66,70,46,99,119,117,48,619,16,17,8,8,6,14,8,0,0,82,751,615,482,558,653,525,427,262,87,4349,..,3,212,664,868,614,510,258,55,3192,..,51,230,127,106,75,57,21,0,666,..,0,14,40,104,65,16,11,10,264,1415,..,..,..,..,..,..,..,..,1415,..,659,..,..,..,..,..,..,..,659,..,173,111,17,14,9,4,0,0,329,..,27,31,6,3,8,17,10,7,102,..,17,25,6,3,0,0,0,0,57,..,75,116,22,21,26,14,13,4,285,..,73,146,151,109,199,223,174,74,1147,25,22,28,16,10,24,14,5,0,144,1442,1097,906,1051,1248,1013,851,489,150,8256
POA6014,..,96,87,15,12,16,9,4,0,233,..,66,186,123,110,196,266,252,186,1390,20,32,30,19,13,16,13,4,5,149,2085,1212,1304,1637,1538,1206,909,554,294,10740,..,25,893,2258,2176,1543,1107,585,173,8765,..,111,512,294,250,193,63,24,11,1450,..,0,27,129,202,123,44,21,30,577,4270,..,..,..,..,..,..,..,..,4270,..,1482,..,..,..,..,..,..,..,1482,..,420,248,55,33,29,4,0,0,796,..,93,68,22,14,30,50,28,19,326,..,17,75,17,4,8,0,0,0,123,..,158,198,39,28,29,22,13,6,495,..,129,367,260,218,343,405,334,248,2304,37,45,56,43,24,23,25,14,9,263,4305,2482,2458,3112,2952,2324,1720,1020,481,20854
POA6015,..,3,14,0,4,0,0,3,0,27,..,3,0,5,3,25,52,100,95,283,0,6,3,3,0,0,0,4,5,25,552,431,155,319,552,472,299,304,178,3253,..,0,56,418,879,766,469,369,139,3104,..,6,45,56,70,60,15,11,6,274,..,0,0,13,53,35,7,13,14,144,1148,..,..,..,..,..,..,..,..,1148,..,669,..,..,..,..,..,..,..,669,..,163,136,20,14,16,0,0,0,355,..,28,6,0,0,6,8,13,14,82,..,3,9,0,4,0,0,0,0,29,..,17,76,5,7,0,4,3,0,100,..,7,3,20,15,35,71,128,124,414,5,16,9,4,10,4,3,10,4,61,1155,918,346,543,1060,936,588,542,306,6384
POA6016,..,66,95,12,9,10,7,3,0,206,..,23,83,78,72,116,135,65,46,623,12,9,22,6,6,10,6,0,7,77,1040,559,897,954,741,527,336,140,76,5277,..,16,628,1266,967,550,328,118,33,3902,..,51,375,230,146,117,33,7,0,953,..,6,30,76,124,57,19,17,10,341,2165,..,..,..,..,..,..,..,..,2165,..,558,..,..,..,..,..,..,..,558,..,187,112,34,20,23,0,0,0,374,..,61,86,22,11,29,15,8,14,238,..,32,47,21,5,0,0,0,0,97,..,104,198,37,14,15,14,11,3,403,..,31,150,165,143,209,208,110,65,1085,20,16,27,12,21,16,12,9,7,129,2184,1060,1648,1853,1449,1017,634,271,127,10248
POA6017,..,31,49,13,4,7,6,0,0,106,..,15,114,79,64,78,63,48,22,489,0,3,10,6,3,4,3,6,0,35,252,213,648,356,188,183,128,87,33,2093,..,24,515,404,138,115,85,55,13,1345,..,78,256,71,30,9,14,7,0,467,..,0,23,37,29,22,11,7,6,137,472,..,..,..,..,..,..,..,..,472,..,86,..,..,..,..,..,..,..,86,..,45,38,15,10,7,4,0,0,119,..,43,45,20,5,21,9,7,0,153,..,12,23,6,0,0,0,0,0,48,..,59,116,28,11,13,8,0,0,237,..,32,207,184,150,138,139,75,25,948,5,3,20,16,14,7,9,6,0,81,475,390,1246,776,387,335,264,153,50,4087
POA6018,..,177,383,61,37,49,39,21,6,770,..,55,296,226,234,404,560,556,321,2664,20,50,53,23,22,18,20,16,9,235,3629,2208,2892,3179,2803,2172,1812,1306,523,20522,..,30,1461,3816,3514,2548,1933,1288,301,14889,..,220,1624,935,464,310,155,59,13,3773,..,9,80,355,532,306,99,77,63,1519,7404,..,..,..,..,..,..,..,..,7404,..,2387,..,..,..,..,..,..,..,2387,..,954,522,155,119,71,23,0,0,1847,..,145,120,42,46,80,102,72,32,640,..,80,95,24,14,12,3,3,0,243,..,331,728,152,74,86,71,31,8,1483,..,118,573,476,501,655,850,730,406,4302,49,90,111,57,38,37,37,29,11,471,7451,4372,5311,6015,5302,4110,3274,2279,838,38947
POA6019,..,110,407,73,27,30,12,11,0,670,..,61,275,243,185,274,297,267,134,1735,9,32,61,23,19,19,18,9,4,188,1750,1097,2246,1836,1547,1188,890,619,224,11399,..,9,840,1793,1665,1260,956,565,137,7223,..,154,1440,730,350,218,98,20,7,3019,..,3,57,205,358,153,57,42,33,906,3702,..,..,..,..,..,..,..,..,3702,..,1141,..,..,..,..,..,..,..,1141,..,422,232,80,62,34,3,0,0,828,..,81,72,29,21,29,35,27,12,300,..,35,93,26,11,5,0,0,0,165,..,206,734,173,64,51,31,22,7,1280,..,121,512,514,442,512,463,358,175,3099,31,68,117,50,41,28,31,17,7,386,3733,2237,4094,3594,2996,2295,1672,1061,378,22053
POA6020,..,16,39,15,7,15,10,8,0,115,..,22,42,52,50,130,303,256,125,970,13,23,23,7,11,15,24,6,0,123,2079,1108,781,1422,1522,1468,1570,718,218,10878,..,3,445,1933,2244,2100,2286,961,162,10135,..,53,374,319,254,178,93,30,3,1299,..,4,33,110,206,121,47,36,19,581,4125,..,..,..,..,..,..,..,..,4125,..,1409,..,..,..,..,..,..,..,1409,..,670,372,100,64,27,4,0,0,1244,..,72,31,13,8,29,51,27,25,251,..,25,37,10,3,4,0,4,0,88,..,37,85,31,14,32,21,18,5,251,..,37,83,107,133,248,447,354,171,1579,49,48,39,21,25,22,34,12,3,248,4172,2347,1497,2640,2962,2768,2988,1438,383,21202
POA6021,..,63,105,23,13,18,12,0,0,231,..,31,133,113,136,216,325,285,163,1394,19,23,22,19,14,13,14,20,11,152,1652,1064,1437,1520,1309,1196,1170,753,282,10376,..,30,928,1889,1620,1445,1300,846,210,8272,..,108,646,334,170,123,61,13,0,1453,..,5,51,168,246,140,82,58,47,813,3294,..,..,..,..,..,..,..,..,3294,..,1030,..,..,..,..,..,..,..,1030,..,560,436,149,124,72,12,0,0,1355,..,97,108,36,38,52,62,46,25,461,..,66,75,19,15,10,3,0,0,191,..,114,221,67,47,46,23,4,4,523,..,47,263,258,271,381,451,379,212,2264,34,45,46,37,30,19,22,25,16,278,3330,2095,2773,2968,2555,2291,2020,1381,520,19927
POA6022,..,4,4,0,0,8,4,0,4,26,..,0,9,16,14,34,80,55,23,225,3,8,8,0,3,3,6,5,0,30,485,228,338,357,306,280,339,164,36,2532,..,3,243,430,368,297,439,228,27,2035,..,23,195,124,72,50,20,8,0,483,..,5,13,59,78,48,21,8,8,237,996,..,..,..,..,..,..,..,..,996,..,234,..,..,..,..,..,..,..,234,..,164,88,37,25,10,0,0,0,314,..,16,19,5,8,6,13,12,6,77,..,6,19,6,0,0,0,0,0,39,..,12,24,7,6,11,10,4,4,69,..,3,31,41,52,74,120,75,31,430,8,13,11,5,10,3,10,4,0,57,1003,480,637,708,620,494,625,337,70,4980
POA6023,..,27,26,9,7,12,12,8,3,103,..,4,22,17,31,79,187,156,81,580,3,15,10,9,4,13,11,3,0,69,1604,786,568,1181,1118,895,988,458,137,7741,..,3,355,1595,1620,1229,1380,622,88,6887,..,28,291,264,208,129,45,7,3,973,..,3,23,128,195,80,53,30,12,525,3391,..,..,..,..,..,..,..,..,3391,..,1055,..,..,..,..,..,..,..,1055,..,436,266,78,54,10,0,0,0,852,..,41,36,16,14,36,33,28,15,214,..,23,21,12,12,6,6,4,0,83,..,38,57,16,20,25,25,19,7,203,..,15,48,54,84,130,260,211,112,916,15,31,14,21,11,14,22,5,0,136,3409,1682,1109,2178,2216,1675,1823,924,237,15243
POA6024,..,24,35,15,8,17,14,6,0,124,..,15,50,35,61,93,175,143,53,633,4,17,7,7,9,8,12,6,3,71,1243,694,771,962,877,700,877,414,105,6634,..,10,500,1126,1010,820,1152,508,67,5195,..,74,450,310,208,117,52,21,3,1244,..,8,34,148,185,94,65,42,19,603,2507,..,..,..,..,..,..,..,..,2507,..,687,..,..,..,..,..,..,..,687,..,421,201,111,76,29,6,0,0,842,..,69,33,18,15,33,33,29,15,236,..,39,37,19,6,4,0,4,0,120,..,47,88,38,32,40,22,8,0,278,..,29,113,92,162,178,271,208,72,1125,27,34,20,16,12,12,19,8,0,151,2529,1415,1484,1887,1720,1321,1626,828,175,12985
POA6025,..,45,88,22,14,30,31,13,0,237,..,38,104,76,89,244,345,255,144,1293,34,40,22,18,17,30,24,9,7,202,2857,1650,1809,2166,2049,2068,1783,761,255,15392,..,21,1091,2645,2665,2642,2479,967,155,12671,..,194,1073,615,390,244,109,19,3,2645,..,12,113,292,413,246,101,69,33,1285,5823,..,..,..,..,..,..,..,..,5823,..,1830,..,..,..,..,..,..,..,1830,..,933,557,179,115,44,12,0,0,1845,..,118,89,31,43,66,78,47,35,493,..,65,60,29,16,15,11,0,0,189,..,123,187,67,56,59,60,20,4,581,..,72,226,240,272,431,511,353,180,2285,63,72,59,49,36,53,46,15,6,402,5890,3439,3458,4151,4002,3808,3401,1487,415,30049
POA6026,..,13,18,5,10,13,9,0,0,73,..,17,27,33,59,170,270,254,171,1005,20,27,20,15,9,13,20,10,4,139,1995,1204,877,1511,1544,1753,1378,606,297,11169,..,10,555,2007,2074,2414,2045,642,189,9935,..,62,422,375,262,188,74,19,6,1403,..,0,47,183,272,167,60,28,31,793,4053,..,..,..,..,..,..,..,..,4053,..,1403,..,..,..,..,..,..,..,1403,..,880,467,128,56,39,9,0,0,1586,..,55,46,15,13,50,82,35,40,332,..,29,29,10,6,12,7,0,0,92,..,30,62,23,13,31,26,0,0,194,..,37,60,94,138,272,405,311,219,1547,38,55,42,33,19,20,37,13,5,263,4091,2580,1723,2878,2853,3183,2735,1058,492,21596
POA6027,..,121,127,40,44,54,39,11,0,430,..,72,155,100,175,342,467,306,141,1748,54,75,46,32,30,26,24,18,9,313,3526,2341,2441,2794,2835,2911,2152,892,309,20188,..,36,1379,3336,3561,3840,2893,1025,198,16269,..,311,1386,823,594,415,168,28,4,3731,..,29,154,409,492,317,144,63,44,1644,7228,..,..,..,..,..,..,..,..,7228,..,2206,..,..,..,..,..,..,..,2206,..,1524,818,211,119,57,22,0,0,2750,..,162,93,42,39,83,109,84,66,681,..,126,130,53,34,27,3,9,0,379,..,312,391,146,104,105,69,30,4,1150,..,148,391,345,395,628,739,428,182,3253,105,132,101,77,61,50,45,21,8,603,7333,4980,4842,5443,5405,5524,4191,1684,507,39899
POA6028,..,10,15,9,13,9,4,0,0,68,..,22,47,29,60,121,135,101,48,551,20,22,20,8,9,12,12,4,0,103,2082,1618,1071,1466,2123,1750,854,366,102,11441,..,19,706,1928,3143,2770,1358,447,66,10430,..,128,501,308,278,195,64,11,3,1477,..,8,62,169,282,156,55,19,11,769,4265,..,..,..,..,..,..,..,..,4265,..,1769,..,..,..,..,..,..,..,1769,..,1166,537,115,38,18,0,0,0,1880,..,84,47,17,16,32,50,49,32,331,..,44,46,18,17,6,8,0,0,139,..,34,61,16,23,20,20,4,0,179,..,35,90,92,147,219,206,129,63,982,41,50,44,18,18,30,22,9,0,236,4308,3345,2092,2675,3954,3458,1779,672,176,22460
POA6029,..,6,17,5,3,3,0,0,0,34,..,5,3,0,4,14,29,32,28,112,0,3,0,0,0,0,0,0,0,15,273,198,99,182,201,160,167,92,39,1405,..,0,61,251,304,254,240,129,29,1268,..,3,32,39,42,19,8,0,0,153,..,0,0,11,21,13,7,4,6,58,509,..,..,..,..,..,..,..,..,509,..,229,..,..,..,..,..,..,..,229,..,95,23,5,9,11,0,0,0,142,..,5,8,0,0,0,0,0,0,16,..,0,0,0,0,0,0,0,0,6,..,17,39,11,7,0,6,0,0,75,..,9,12,11,16,26,42,43,35,183,4,7,3,5,3,0,0,0,0,32,510,369,185,327,402,326,302,178,70,2672
POA6030,..,82,88,31,35,35,38,9,0,316,..,48,128,116,171,304,335,311,167,1579,48,90,49,27,24,29,30,18,6,323,3658,2658,2570,2645,2987,2285,1453,977,297,19537,..,74,1452,2836,3566,2852,1750,1098,218,13853,..,415,1350,780,588,325,91,39,20,3610,..,53,339,537,636,367,125,54,24,2118,7596,..,..,..,..,..,..,..,..,7596,..,2239,..,..,..,..,..,..,..,2239,..,1850,834,175,86,52,4,0,0,3004,..,234,166,47,69,115,114,93,39,877,..,133,125,51,38,27,8,5,0,384,..,157,212,80,69,82,67,20,4,682,..,111,315,370,422,552,494,414,231,2900,90,145,107,67,61,51,40,24,8,590,7684,5400,4896,4942,5536,4414,2697,1751,540,37856
