POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA6012,56,176,32,17,4,410,185,49,349,56,44,15,700,6,0,22,9,8,0,46,12,7,40,15,40,0,108,37,11,59,15,22,13,156,789,240,1673,389,415,92,3596
POA6014,143,456,77,68,25,1062,500,141,980,201,133,59,2013,29,13,82,24,28,3,179,33,8,69,33,83,0,231,52,11,119,40,38,20,284,2105,612,4508,1052,1109,233,9619
POA6015,40,122,22,18,3,281,146,35,268,43,6,13,514,6,6,20,8,9,0,39,10,0,14,13,14,3,47,27,6,66,12,13,9,131,563,186,1266,259,227,63,2558
POA6016,71,217,39,41,11,496,216,75,407,105,93,18,912,20,8,28,12,14,0,80,12,7,39,21,58,7,137,27,9,76,23,35,16,184,919,336,2172,666,761,120,4976
POA6017,28,74,16,23,3,184,66,14,173,55,57,8,383,5,0,19,6,7,0,36,4,0,20,18,45,0,95,12,3,19,13,17,7,71,345,108,819,323,441,71,2105
POA6018,328,936,209,203,29,2110,526,214,1412,349,299,50,2844,17,17,130,43,73,8,280,34,10,132,90,266,18,553,70,14,220,98,138,56,593,2405,1093,7326,2407,3569,435,17231
POA6019,210,578,133,112,26,1314,326,133,954,191,186,36,1828,24,15,87,38,52,10,231,26,17,96,71,166,10,382,50,9,162,60,104,60,453,1592,674,4704,1525,2347,333,11181
POA6020,161,542,116,135,30,1214,196,109,609,166,142,36,1243,12,9,60,25,40,3,151,15,13,72,47,122,7,271,32,10,117,47,91,38,327,1046,533,3526,1212,1940,265,8512
POA6021,98,332,83,134,19,779,194,75,552,158,207,41,1228,8,5,40,25,30,4,109,17,9,62,65,168,17,332,34,6,87,52,108,37,323,885,338,2831,1270,2146,273,7744
POA6022,42,110,31,41,6,262,33,20,131,71,41,5,306,0,0,12,6,11,0,27,5,5,23,19,51,0,99,6,0,35,16,38,7,92,149,110,645,343,648,50,1943
POA6023,134,409,102,102,15,895,136,77,391,161,140,23,922,9,4,38,14,24,0,86,13,5,42,33,111,9,197,11,9,61,33,55,26,198,732,405,2259,930,1551,185,6050
POA6024,109,279,69,98,9,654,80,56,349,115,173,27,808,3,3,31,13,21,0,71,16,4,21,41,132,5,219,10,4,40,23,60,28,167,413,270,1575,742,1807,156,4968
POA6025,233,720,176,228,30,1631,201,120,823,355,345,62,1906,14,10,80,30,55,5,191,13,11,81,74,292,13,486,34,9,128,75,171,44,454,1100,651,4027,1967,3967,389,12104
POA6026,178,519,168,210,16,1226,130,93,527,243,265,51,1311,13,3,55,27,54,0,147,17,6,50,56,193,0,319,16,4,65,39,120,21,265,690,441,2700,1520,2896,233,8485
POA6027,293,859,274,360,30,2127,249,142,1035,506,549,83,2563,13,8,86,34,81,15,228,33,18,111,144,434,19,758,30,16,137,95,276,73,617,1291,737,4739,2838,6089,539,16237
POA6028,127,491,162,186,19,1137,152,86,595,250,319,45,1451,5,0,40,26,40,5,126,9,13,58,86,225,9,395,24,9,71,59,144,35,341,724,410,2855,1776,3351,286,9407
POA6029,19,64,12,15,4,137,34,11,89,19,12,5,178,0,0,7,4,0,0,14,0,0,12,4,19,0,24,4,4,11,4,7,3,42,143,67,493,161,217,34,1113
POA6030,146,524,237,317,32,1411,166,115,794,503,685,69,2335,9,6,54,27,77,7,171,17,4,82,124,425,19,667,29,15,90,86,273,72,568,783,459,3170,2569,6116,503,13593
POA6031,58,257,102,177,18,686,58,63,417,285,363,45,1226,0,3,20,9,31,4,71,8,4,37,61,248,10,371,17,0,46,41,141,48,295,327,222,1616,1219,3016,299,6704
POA6032,3,3,0,3,0,8,0,0,5,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,16,19,33,8,75
POA6033,0,6,0,4,0,16,0,0,9,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,3,0,11,8,3,40,22,67,4,138
POA6034,16,42,26,27,4,125,14,8,71,79,91,4,271,0,0,3,7,4,0,13,0,0,8,10,39,6,67,0,0,6,4,25,12,48,39,34,261,281,639,43,1298
POA6035,40,106,40,94,9,317,15,25,145,127,174,19,513,5,0,3,6,21,0,34,4,0,15,34,110,0,156,3,4,13,16,58,25,114,102,104,518,600,1686,136,3156
POA6036,71,213,92,143,23,596,66,47,330,250,333,34,1063,6,0,5,13,22,6,50,7,7,23,57,212,12,315,3,3,21,28,100,47,206,299,193,1271,1121,2723,247,5858
POA6037,12,40,17,27,5,115,7,13,37,39,49,9,158,0,0,0,4,5,0,6,0,0,3,4,32,5,46,0,0,4,4,19,6,36,26,36,163,195,583,37,1049
POA6038,48,163,51,99,7,410,48,34,249,154,170,27,670,0,0,14,9,29,0,47,4,0,21,37,135,7,206,6,0,23,31,69,17,145,212,140,910,702,1691,120,3768
POA6041,6,17,7,11,0,39,0,5,9,13,8,3,37,0,0,4,0,0,0,6,0,0,0,0,6,0,12,0,0,0,0,6,4,11,4,9,52,51,211,22,355
POA6042,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,14
POA6043,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,12,6,36,0,58
POA6044,0,11,4,0,3,19,0,0,9,7,5,4,31,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,4,0,5,9,17,16,7,70,51,146,35,321
POA6050,117,309,52,48,15,714,238,76,528,123,94,22,1082,19,6,93,26,29,0,181,11,4,54,39,72,0,186,33,3,96,36,35,27,229,1129,434,3147,847,1067,178,6804
POA6051,74,258,59,48,4,580,156,63,454,148,157,36,1013,27,14,73,26,38,0,171,22,6,48,47,93,4,226,25,11,98,37,60,23,253,937,343,2602,939,1335,173,6332
POA6052,82,262,46,67,9,578,131,63,317,106,93,27,737,9,4,46,17,18,5,100,9,6,37,31,97,4,185,14,6,62,19,32,9,142,677,322,1998,731,998,123,4851
POA6053,130,348,75,88,8,791,162,80,457,146,160,16,1023,10,6,63,16,36,6,133,14,4,61,40,103,0,222,26,5,67,29,55,23,210,835,442,2496,940,1473,158,6341
POA6054,147,340,107,137,24,876,132,81,434,221,309,23,1196,14,8,54,33,36,10,145,18,10,52,40,159,8,283,23,3,75,34,123,28,295,675,411,2284,1143,2546,210,7258
POA6055,133,438,120,208,29,1073,219,114,848,415,525,57,2177,10,9,53,33,65,5,175,22,12,92,82,343,7,568,34,5,125,90,206,57,515,1034,470,3640,2131,4589,399,12260
POA6056,141,453,164,282,28,1203,151,125,609,436,637,84,2044,8,5,39,22,100,10,184,13,8,71,92,467,13,660,16,5,82,84,267,91,545,687,477,2630,2179,6036,536,12552
POA6057,65,201,84,139,3,531,38,36,246,153,226,18,727,4,0,22,3,45,6,80,8,0,21,41,211,12,293,5,0,38,30,130,27,228,200,177,1070,852,2761,183,5251
POA6058,32,117,49,116,4,351,30,25,205,121,205,19,604,5,0,18,12,35,0,70,4,5,13,37,159,3,222,5,0,19,30,96,21,176,182,112,838,677,2157,151,4117
POA6059,139,408,129,122,12,965,213,86,617,226,233,46,1424,9,5,57,26,31,0,141,15,12,89,86,210,19,435,23,9,115,52,90,33,325,987,445,3306,1437,2195,286,8656
POA6060,161,500,96,111,17,1078,339,135,901,296,287,40,1990,15,5,96,39,46,3,205,38,13,93,90,199,15,452,52,9,144,66,98,47,422,1633,604,4509,1763,2490,320,11321
POA6061,122,348,129,197,30,947,264,115,920,513,694,106,2613,22,0,69,58,60,10,221,32,8,121,135,319,34,647,72,4,158,119,243,109,701,1380,457,4037,2478,4189,643,13184
POA6062,133,484,132,171,21,1135,184,94,670,313,425,56,1741,17,0,57,44,57,0,174,27,5,96,81,317,33,560,51,8,145,82,173,80,547,1105,427,3738,1938,3764,440,11408
POA6063,25,92,53,103,11,316,61,40,236,156,232,25,740,0,0,10,16,25,0,59,3,5,27,40,161,7,245,12,3,41,28,128,31,243,262,128,1052,750,1938,205,4333
POA6064,74,242,117,218,33,752,96,60,382,286,519,57,1401,3,7,32,28,43,6,129,21,11,54,69,285,20,449,12,11,70,64,203,79,437,434,240,1857,1384,3741,417,8082
POA6065,264,1041,323,460,50,2422,343,214,1531,818,980,116,4003,19,8,82,58,146,3,324,23,16,169,200,742,49,1196,68,15,202,143,459,128,1013,1713,862,6892,4368,9446,859,24142
POA6066,42,205,79,151,20,537,53,32,299,175,302,35,898,6,0,28,21,31,0,84,12,0,35,44,223,8,328,17,0,48,40,124,46,278,282,144,1291,900,2587,235,5440
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
POA6069,161,519,209,390,28,1449,151,109,780,533,783,83,2442,7,3,40,25,93,7,178,18,8,71,129,521,16,762,33,8,108,102,340,84,668,848,493,3342,2893,7223,579,15367
POA6070,43,93,20,21,0,228,28,19,100,36,19,3,209,3,0,7,5,0,0,19,3,4,13,5,18,0,53,9,0,17,12,21,3,60,196,108,544,223,334,33,1444
POA6071,26,84,23,34,3,201,26,19,93,35,36,7,216,0,0,9,0,9,0,22,7,0,9,12,42,4,75,7,0,10,5,18,4,45,150,87,398,217,441,42,1327
POA6072,8,12,0,4,0,34,11,0,12,9,7,0,35,0,0,3,0,0,0,5,0,0,5,0,18,0,18,0,0,5,3,10,0,13,20,13,65,51,151,12,309
POA6073,15,55,23,24,3,141,9,12,50,23,31,4,136,0,0,8,0,5,0,15,4,0,4,3,43,0,51,4,0,0,5,9,8,33,66,49,254,179,418,41,1008
POA6074,3,21,15,7,0,56,0,3,14,5,8,0,36,0,0,0,0,0,0,0,0,0,0,9,17,0,24,0,0,0,0,6,3,13,22,12,67,55,158,16,331
POA6076,139,485,136,179,25,1149,114,84,423,213,221,25,1074,4,9,42,27,33,4,116,16,14,40,60,220,6,348,11,7,65,42,132,35,291,638,431,2313,1315,2720,251,7670
POA6077,0,16,12,9,0,44,4,4,17,6,18,0,50,0,0,0,0,0,0,9,0,0,0,0,19,0,24,0,0,3,5,13,3,25,22,20,111,65,226,21,457
POA6078,0,3,3,7,3,30,4,0,16,9,11,0,34,0,0,0,0,3,0,4,0,0,4,4,9,0,16,0,0,4,3,11,0,18,18,11,56,41,158,10,296
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
POA6081,25,91,33,41,5,225,12,11,85,42,58,9,215,0,0,6,3,13,0,22,0,3,6,18,68,0,93,0,3,15,5,34,9,62,93,78,464,292,794,55,1772
POA6082,19,46,18,28,0,119,8,16,57,38,42,10,167,0,0,4,0,6,0,13,0,0,3,14,50,0,69,0,0,4,4,40,4,54,46,49,206,189,582,40,1107
POA6083,15,33,16,36,0,114,19,4,41,38,39,6,145,0,0,7,7,3,0,13,0,0,3,18,50,0,76,0,0,6,3,31,8,56,72,50,237,231,612,42,1237
POA6084,30,98,34,72,3,251,18,19,101,64,116,6,327,0,0,3,5,13,0,23,4,0,10,17,130,3,167,0,0,14,19,99,22,160,78,73,511,459,1703,114,2924
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,6
POA6100,84,289,66,61,7,687,207,65,461,134,171,38,1079,17,6,67,32,45,7,168,14,12,54,59,103,12,245,50,3,97,37,56,42,285,1221,365,2881,1065,1575,232,7331
POA6101,120,319,69,80,8,807,188,81,546,177,163,26,1178,23,9,64,26,39,3,159,24,11,76,29,100,8,243,30,4,93,34,69,24,253,1142,427,3115,1062,1667,190,7597
POA6102,48,203,48,49,5,484,125,49,317,131,116,26,763,11,0,31,19,20,0,87,9,4,45,35,70,6,168,49,3,87,25,55,46,272,912,205,1964,765,1073,189,5108
POA6103,39,134,29,53,10,335,88,38,307,120,132,11,696,10,0,50,27,55,0,148,6,3,51,43,75,0,184,22,0,54,31,53,33,199,597,209,1772,810,1265,150,4808
POA6104,50,178,41,94,8,438,94,50,307,153,160,26,790,7,0,29,26,66,13,143,15,7,39,36,104,8,205,15,4,50,43,61,41,221,561,187,1652,919,1754,230,5310
POA6105,53,184,54,60,10,448,91,44,319,163,179,26,819,14,5,38,31,28,8,117,12,6,56,29,119,12,228,21,0,51,34,83,67,255,584,184,1747,965,1839,264,5588
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
POA6107,125,486,146,243,29,1275,394,120,1293,527,532,83,2950,19,4,109,58,78,3,272,69,17,168,142,360,20,773,129,10,249,154,259,126,920,2446,535,6120,3020,4756,667,17552
POA6108,80,248,112,187,29,742,95,52,400,250,307,36,1137,10,3,30,22,45,3,122,22,4,61,70,208,9,368,20,0,72,43,148,43,331,552,236,1892,1288,2870,290,7131
POA6109,12,80,29,71,3,228,41,20,210,120,201,28,615,0,0,15,16,16,0,48,0,4,28,17,100,9,167,16,0,39,21,81,35,188,271,75,852,538,1524,180,3429
POA6110,115,461,172,316,32,1275,196,100,811,426,654,81,2271,9,3,41,33,68,3,163,26,15,80,104,402,21,648,44,13,134,90,304,100,681,1064,384,3348,2250,5554,519,13108
POA6111,100,314,104,203,15,810,84,51,332,209,379,32,1084,11,4,24,19,44,0,102,8,9,32,48,250,12,360,15,9,45,44,180,64,369,420,272,1547,1171,3410,279,7106
POA6112,229,874,268,516,42,2204,457,232,1635,809,1099,128,4360,17,3,69,48,107,8,254,43,10,109,152,630,39,972,62,12,229,196,471,161,1132,2102,762,6394,4076,9076,837,23245
POA6121,7,41,12,29,0,100,9,8,33,14,21,4,92,0,0,5,6,13,0,21,0,0,7,11,47,5,65,0,0,13,0,20,7,34,39,36,216,172,540,47,1045
POA6122,68,224,110,193,14,659,68,75,343,269,326,30,1108,0,0,14,12,45,3,71,7,0,30,58,325,9,431,7,0,48,42,182,46,320,303,230,1264,1274,3820,253,7140
POA6123,3,21,11,18,0,62,0,6,34,24,34,3,103,0,0,0,0,5,0,11,0,0,0,8,23,0,32,0,0,5,6,18,3,33,9,15,104,106,411,26,674
POA6124,3,15,5,3,0,34,0,11,15,14,18,0,62,0,0,0,0,0,0,3,0,0,0,0,9,0,15,0,0,0,9,11,3,29,12,21,80,65,198,26,404
POA6125,6,41,19,36,3,104,7,7,34,20,35,7,113,0,0,4,0,8,5,19,0,0,9,3,55,0,66,6,0,6,11,29,5,63,36,31,196,163,582,58,1072
POA6126,0,5,0,0,0,11,0,0,0,3,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,12,13,27,9,67
POA6147,55,215,52,89,8,508,81,37,308,145,193,30,794,4,9,24,12,37,0,88,12,7,53,36,118,11,228,22,9,43,32,89,50,251,515,196,1573,780,1566,195,4826
POA6148,99,355,91,88,12,871,210,83,571,158,171,30,1223,13,0,31,12,32,0,88,17,6,55,46,97,4,233,42,6,101,32,76,33,295,1226,356,2757,904,1461,176,6881
POA6149,128,410,95,116,22,1001,195,102,600,161,127,43,1236,10,8,52,14,35,10,121,13,11,53,44,81,7,207,37,3,98,42,67,34,280,1106,428,2850,961,1482,220,7042
POA6150,83,278,54,55,19,628,127,55,376,102,92,26,775,3,0,29,7,20,0,63,20,0,44,17,70,6,157,22,4,77,17,44,31,193,778,275,2089,599,838,151,4731
POA6151,110,380,68,61,13,878,285,90,609,130,101,27,1242,17,7,58,17,26,3,126,19,0,61,39,80,5,212,56,15,97,28,45,30,271,1431,444,3387,921,1124,174,7489
POA6152,188,604,112,107,22,1387,344,118,893,189,187,41,1772,24,10,87,27,43,3,193,36,16,89,43,132,18,332,64,13,148,66,74,52,415,1848,660,4769,1315,1832,303,10718
POA6153,107,397,89,73,14,888,360,126,791,124,128,44,1572,12,3,61,18,32,3,136,23,7,75,31,82,6,228,56,9,153,35,64,44,363,1578,517,3931,1015,1275,228,8546
POA6154,80,248,63,66,8,581,99,61,309,76,75,14,626,10,0,14,9,12,0,45,8,0,41,25,56,9,136,19,0,61,23,43,22,162,590,259,1719,527,850,109,4055
POA6155,247,909,217,329,39,2205,514,202,1530,518,477,105,3345,23,4,100,48,64,6,248,45,16,141,127,308,19,652,139,17,280,120,234,97,887,3029,845,7447,2872,4583,598,19374
POA6156,150,440,90,105,10,946,185,87,515,154,150,12,1102,3,0,42,25,34,4,111,9,13,50,37,106,9,224,35,10,80,31,78,30,251,824,443,2722,1022,1748,195,6960
POA6157,130,427,74,84,16,907,160,94,522,131,132,17,1066,12,3,45,12,20,4,99,14,8,55,51,73,0,193,13,7,71,41,57,18,209,702,403,2384,848,1392,153,5884
POA6158,79,189,28,27,5,440,141,57,287,60,46,10,600,12,8,30,7,8,0,67,9,0,31,15,36,0,91,13,3,29,17,16,11,94,502,261,1388,379,548,84,3156
POA6159,37,70,17,5,0,194,87,17,176,31,17,7,330,4,4,15,4,4,4,37,8,3,16,9,19,0,56,17,3,31,14,6,7,79,355,108,773,207,224,53,1705
POA6160,79,200,39,38,9,565,144,45,329,62,62,19,662,22,6,57,16,26,4,126,12,3,30,20,48,0,121,24,9,59,19,30,21,170,776,255,1652,501,746,135,4059
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,16,29,4,87
POA6162,119,272,65,57,14,723,184,68,430,116,97,12,908,20,13,62,22,10,0,124,17,7,53,26,65,8,177,36,8,85,25,41,27,221,847,328,1966,672,991,116,4926
POA6163,358,1102,300,350,52,2646,448,239,1433,547,671,105,3440,36,8,152,55,102,17,370,31,21,119,118,494,17,797,65,17,229,114,322,123,873,2050,1021,6507,3054,6636,718,19985
POA6164,329,1089,317,567,52,2716,443,291,1894,720,942,118,4410,16,5,91,58,135,11,317,46,19,187,171,700,16,1143,81,21,258,174,469,121,1123,2314,1082,7886,4173,9477,862,25788
POA6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,5,12,0,17
POA6166,49,191,53,90,10,449,60,41,215,107,122,24,566,3,0,9,9,15,0,37,6,8,25,26,143,4,210,6,4,32,21,107,25,201,243,157,1020,664,1658,134,3872
POA6167,74,234,105,171,18,677,76,73,436,287,466,40,1377,5,5,33,17,46,5,115,5,7,40,63,239,10,370,15,8,63,51,195,44,378,416,239,1856,1366,3870,332,8072
POA6168,61,165,113,202,21,610,52,41,231,194,404,40,971,4,3,11,14,38,6,67,3,7,15,34,171,11,249,14,0,32,25,173,49,300,253,187,993,1127,3545,294,6398
POA6169,112,416,172,340,32,1171,92,100,433,336,602,63,1623,0,4,20,17,59,0,97,4,3,45,41,289,23,409,14,4,56,59,252,53,433,396,334,1851,1729,5464,422,10197
POA6170,69,181,60,111,11,491,105,64,452,213,340,31,1209,9,0,16,11,30,0,58,9,3,22,40,180,8,263,24,5,43,39,142,39,284,527,219,1700,953,2603,214,6228
POA6171,134,495,176,370,34,1315,127,112,652,465,610,51,2005,3,3,29,24,66,4,125,3,6,35,105,372,20,545,10,6,78,66,255,62,482,524,401,2455,2314,6316,390,12391
POA6172,33,155,37,144,4,405,28,32,144,150,261,22,641,0,4,5,12,15,3,41,3,0,3,15,111,4,143,4,3,13,15,112,15,163,119,105,580,724,2274,148,3944
POA6173,59,203,81,151,15,566,48,31,230,134,214,16,665,5,3,5,13,29,3,61,4,0,17,28,113,6,155,3,0,30,41,99,27,199,188,147,909,869,2306,137,4568
POA6174,30,89,30,76,3,242,9,8,86,59,92,3,265,0,0,4,3,12,0,25,0,3,7,3,74,4,91,0,0,10,15,50,10,81,62,61,354,318,1096,55,1949
POA6175,28,87,31,55,12,229,10,17,65,48,56,4,213,0,0,9,3,11,0,19,6,0,8,11,49,0,70,0,0,5,8,31,12,60,46,63,284,249,730,61,1433
POA6176,13,20,11,23,0,73,6,3,25,26,30,3,95,0,0,0,0,10,0,17,0,0,0,4,28,6,40,0,0,0,6,19,0,32,22,24,90,128,382,28,677
POA6180,26,96,33,63,4,248,19,18,122,74,141,8,391,0,0,3,6,12,0,11,3,0,9,11,70,9,102,4,7,12,17,52,3,93,91,70,415,355,1111,64,2109
POA6181,0,3,5,6,0,17,0,0,6,0,10,0,12,0,0,0,0,0,0,4,0,0,0,0,7,0,10,0,0,3,7,6,0,15,0,0,31,41,113,7,192
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,5,13,3,12,0,34,0,0,8,8,14,0,35,0,0,0,0,5,0,7,5,0,3,0,19,0,26,0,0,0,0,16,0,18,11,11,45,51,220,16,349
POA6208,35,89,41,102,9,292,13,16,102,95,175,10,418,0,0,0,8,22,3,36,6,4,11,15,111,9,149,0,0,16,6,71,20,110,66,82,399,459,1882,134,3031
POA6209,5,23,8,6,5,51,3,3,17,9,35,0,67,0,0,0,0,0,0,3,0,0,3,0,15,0,23,0,0,0,0,6,0,13,17,12,59,67,268,24,446
POA6210,248,871,302,560,53,2208,198,139,960,682,1173,97,3251,10,3,37,41,102,21,216,12,14,62,153,555,30,818,23,5,91,108,391,126,742,821,631,3695,3331,9831,832,19138
POA6211,31,107,40,64,9,272,14,15,104,71,119,7,337,0,0,7,3,9,0,28,5,0,12,15,57,4,98,3,3,3,13,51,11,89,80,68,432,385,1236,87,2293
POA6213,3,11,3,6,0,22,3,0,9,6,9,3,26,0,0,0,0,4,0,6,0,0,0,0,3,0,3,0,0,0,4,3,0,9,12,4,32,25,94,9,172
POA6214,0,3,3,3,0,7,0,0,0,3,6,0,14,0,0,0,0,0,0,3,0,0,0,0,6,0,8,0,0,0,0,0,0,4,4,0,27,23,104,14,171
POA6215,9,31,14,34,0,91,0,0,32,25,49,9,119,0,0,0,0,4,0,7,0,0,0,4,31,0,36,3,0,4,3,18,8,39,21,18,134,145,649,73,1041
POA6218,0,4,0,9,0,9,0,0,5,4,0,0,8,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,5,0,3,9,6,11,13,85,3,120
POA6219,0,3,0,3,0,12,0,0,9,3,11,0,26,0,0,0,0,3,0,5,0,0,0,0,3,0,3,0,0,0,0,3,0,3,3,5,23,24,102,8,160
POA6220,15,38,12,26,3,103,8,10,36,20,52,0,133,0,0,0,0,7,0,11,0,0,7,0,30,0,44,3,0,10,5,23,5,42,28,34,277,152,619,81,1196
POA6221,7,10,0,8,0,23,0,0,8,0,4,0,7,0,0,5,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,4,31,6,50,4,97
POA6223,0,3,4,3,0,10,0,0,0,3,5,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,7,3,17,12,32,4,70
POA6224,7,8,5,17,0,35,0,0,13,10,25,0,47,0,0,0,0,4,0,3,0,0,0,0,13,0,20,0,0,0,0,3,0,3,9,3,36,44,208,14,308
POA6225,26,81,31,95,10,252,8,8,69,45,134,10,277,0,0,0,0,17,0,14,0,0,6,17,95,0,111,0,0,3,8,44,6,64,37,47,243,247,1510,75,2151
POA6226,11,12,5,15,0,49,3,0,15,8,12,0,40,0,0,0,0,0,0,0,0,0,4,0,8,0,12,0,0,0,3,9,0,11,11,18,61,50,184,16,338
POA6227,3,11,5,6,0,34,0,0,5,0,14,0,27,0,0,0,0,0,0,0,0,0,4,0,10,0,10,0,0,0,3,5,0,8,3,4,45,37,153,15,260
