POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA6024,16,45,47,21,41,70,30,33,0,302,12,33,24,4,54,51,12,34,39,266,337,1072,854,519,1238,1416,468,925,76,6908
POA6025,17,129,86,48,91,134,45,75,6,628,24,90,64,40,112,164,47,89,72,692,730,2580,2043,1244,2746,3403,1117,2405,172,16439
POA6026,11,83,57,42,79,79,20,45,6,422,16,47,43,27,63,89,28,43,39,396,503,1914,1570,973,2012,2379,771,1541,91,11755
POA6027,33,161,134,84,165,195,65,118,8,970,37,131,87,54,171,203,49,121,110,960,1051,3521,2806,1782,4176,4520,1421,3176,243,22702
POA6028,18,90,61,47,105,95,34,79,6,525,12,68,36,27,96,121,34,76,70,535,524,2066,1622,1020,2373,2803,862,1871,183,13309
POA6029,4,15,8,0,0,14,0,3,0,40,0,9,3,0,3,12,0,5,13,56,73,316,172,117,139,289,99,253,12,1477
POA6030,34,147,131,68,191,171,50,93,12,890,33,108,73,59,156,199,42,117,162,955,921,2966,2494,1627,3984,3968,1195,2840,384,20381
POA6031,18,81,46,33,111,104,39,50,4,493,14,52,23,30,103,122,27,48,99,518,452,1380,1164,778,2072,2000,574,1375,191,9987
POA6032,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,5,0,8,8,21,20,13,7,18,4,21,0,113
POA6033,0,0,7,0,0,3,0,0,3,15,0,0,0,0,5,0,0,0,0,11,8,43,32,15,26,43,19,45,9,248
POA6034,5,16,12,8,23,8,9,10,0,81,6,5,0,5,23,13,4,5,15,76,120,197,198,132,421,366,119,277,38,1888
POA6035,9,32,31,16,29,42,6,21,0,199,3,24,9,18,33,34,14,22,48,205,276,671,549,374,809,862,280,852,102,4774
POA6036,6,67,50,32,105,91,23,39,9,428,12,33,27,23,73,71,13,54,75,377,394,1346,1040,717,1810,1762,479,1320,169,9035
POA6037,3,16,9,8,13,5,0,15,0,66,3,5,0,0,3,11,3,15,14,54,103,221,205,120,256,266,76,321,31,1596
POA6038,11,42,37,24,63,56,14,25,0,258,3,30,14,15,35,55,10,30,23,217,255,672,594,413,1133,1095,323,799,73,5356
POA6041,4,6,5,5,3,0,0,0,0,20,3,7,3,0,0,4,0,3,4,30,57,100,69,39,98,74,31,125,18,610
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,5,0,22
POA6043,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,10,10,9,7,10,8,20,4,21,0,95
POA6044,0,0,5,0,7,0,0,0,0,16,4,4,8,0,6,0,0,5,0,23,50,61,88,37,47,100,31,124,16,558
POA6050,7,50,30,14,48,44,13,30,0,235,14,48,29,25,44,64,20,35,37,313,294,1437,1026,636,1406,1742,604,1350,75,8568
POA6051,7,39,32,31,51,54,24,35,3,276,12,26,33,17,64,70,19,47,50,343,270,957,867,622,1711,1708,562,1081,100,7871
POA6052,9,37,40,28,39,50,25,22,0,241,3,19,22,4,41,42,14,31,30,207,268,914,765,455,1179,1279,497,895,55,6316
POA6053,10,45,40,30,45,71,13,27,3,285,13,34,31,14,66,78,17,27,44,323,359,1103,998,624,1657,1742,603,1183,109,8368
POA6054,12,70,61,31,93,73,22,42,0,385,20,64,38,25,92,104,33,69,66,511,423,1419,1281,822,2153,2142,668,1363,116,10390
POA6055,21,92,85,55,151,165,48,102,7,725,27,61,69,57,152,182,35,107,115,808,760,2060,1891,1255,3630,3623,1118,2587,243,17181
POA6056,28,132,111,54,204,160,83,125,9,906,34,120,97,55,179,200,47,139,172,1044,886,2763,2297,1472,3885,3721,1300,3080,352,19764
POA6057,13,71,52,30,90,86,39,70,4,447,9,35,31,31,62,92,23,58,60,399,400,1165,927,615,1609,1620,626,1431,149,8545
POA6058,13,40,31,23,58,69,20,43,4,294,14,30,14,18,58,60,22,23,73,316,257,784,700,459,1337,1328,442,976,130,6420
POA6059,16,104,78,61,92,88,31,68,3,540,17,71,68,27,75,106,25,59,75,519,408,1882,1557,951,2361,2480,739,1609,166,12159
POA6060,14,99,84,48,123,92,44,61,8,579,19,63,72,24,112,108,27,64,98,577,512,1869,1735,1079,3180,3147,965,1855,205,14535
POA6061,22,157,166,68,202,157,69,73,13,935,16,129,132,71,256,204,45,98,261,1207,667,2684,2595,1603,4507,3664,1002,2127,529,19374
POA6062,20,125,130,60,167,136,44,93,11,772,22,112,83,46,172,195,34,79,157,897,588,2450,2119,1265,3657,3388,1001,2053,321,16845
POA6063,12,67,42,26,71,74,25,45,8,373,5,50,49,22,111,82,27,47,78,470,248,1001,886,518,1619,1347,413,914,157,7106
POA6064,22,111,100,56,150,142,48,72,9,711,25,117,90,58,186,158,31,89,161,924,467,2103,1772,1182,3037,2661,727,1578,319,13843
POA6065,36,263,217,145,330,321,97,189,15,1611,37,189,134,104,343,352,90,170,256,1691,1450,5089,4175,2777,7229,7330,2288,4861,555,35750
POA6066,10,87,79,38,103,90,28,42,17,494,18,84,40,45,120,110,14,48,82,564,322,1377,1164,735,2001,1754,501,1113,192,9154
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
POA6069,29,144,112,67,203,227,81,153,11,1031,29,111,72,69,222,255,54,153,187,1142,989,3149,2513,1623,4733,4606,1521,3862,403,23411
POA6070,6,17,10,4,3,11,5,7,0,60,5,15,10,0,11,19,6,9,9,77,92,335,238,160,276,363,117,271,20,1873
POA6071,4,17,13,6,16,9,0,20,0,84,0,14,6,4,11,11,7,15,5,74,100,335,203,151,285,314,117,278,17,1800
POA6072,3,0,0,0,3,8,3,0,0,25,0,4,0,0,4,6,0,4,0,14,18,61,43,34,84,72,28,88,8,438
POA6073,3,14,10,3,11,13,3,6,4,74,3,10,3,0,10,13,7,8,5,51,81,222,179,102,230,284,78,246,31,1444
POA6074,0,8,0,0,4,0,0,9,0,27,0,0,0,0,0,6,0,4,5,22,29,76,60,35,79,79,39,93,9,499
POA6076,14,83,58,52,85,80,26,48,3,459,18,60,47,36,56,99,23,44,45,430,501,1809,1347,825,1617,1994,723,1769,117,10693
POA6077,3,9,4,4,10,9,4,3,0,49,0,0,3,3,6,6,5,4,8,43,30,137,103,57,119,143,33,136,17,782
POA6078,0,6,5,0,5,0,0,6,0,25,0,4,4,0,3,8,0,3,0,24,32,79,65,38,69,86,34,86,3,491
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,7
POA6081,5,17,16,6,18,23,7,18,0,109,5,22,11,10,8,25,8,20,14,110,137,411,293,191,394,476,169,486,23,2574
POA6082,6,21,11,7,12,14,8,14,4,92,10,6,9,0,13,14,4,15,8,86,110,240,198,114,258,294,114,298,28,1645
POA6083,0,16,11,8,18,15,9,22,0,100,12,13,6,3,11,16,0,17,10,88,102,266,204,144,263,345,124,379,34,1858
POA6084,3,33,27,13,52,56,15,34,3,243,14,31,23,12,36,51,13,36,42,246,239,579,509,315,772,905,286,926,114,4641
POA6090,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,13
POA6100,10,55,46,37,53,54,19,38,5,319,7,40,34,21,75,102,14,40,52,395,340,1233,1137,659,1849,2088,639,1356,115,9412
POA6101,8,64,43,20,68,65,23,44,0,326,8,33,30,20,62,88,28,43,54,363,387,1301,1136,723,1894,2136,676,1312,121,9686
POA6102,9,45,38,15,34,44,8,17,4,225,11,54,42,23,51,77,13,20,97,382,225,1262,1124,543,1287,1260,356,681,172,6919
POA6103,3,25,26,26,55,52,16,24,0,232,11,14,27,9,54,69,15,34,55,288,254,690,709,458,1318,1436,445,917,121,6348
POA6104,9,42,39,23,59,55,19,33,5,287,4,33,30,22,70,80,30,44,65,375,322,925,871,505,1483,1572,514,1239,140,7572
POA6105,8,50,41,36,72,72,25,31,5,333,6,40,23,27,70,89,20,46,78,406,270,1106,926,589,1738,1675,491,1092,162,8047
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10
POA6107,28,146,168,79,227,207,60,106,14,1041,26,178,184,82,261,270,67,130,314,1515,813,3337,3416,1844,5502,4776,1237,2815,590,24324
POA6108,14,78,56,35,109,117,27,48,5,501,6,63,61,36,109,151,31,55,88,601,397,1619,1348,883,2358,2187,652,1304,204,10944
POA6109,4,41,25,18,77,44,19,30,9,258,9,44,30,21,84,72,26,33,74,382,203,843,667,423,1215,1051,318,719,149,5592
POA6110,17,150,103,67,211,185,70,103,17,920,31,122,104,73,265,242,61,149,188,1234,753,2844,2355,1599,4491,4093,1288,2702,399,20525
POA6111,11,89,52,43,98,95,25,69,4,489,18,84,49,27,109,143,31,78,90,622,475,1578,1273,859,2021,2167,716,1601,181,10871
POA6112,39,172,162,112,281,261,96,156,16,1305,49,191,141,90,350,365,113,229,283,1825,1431,4182,3749,2637,7390,6932,2225,4479,567,33594
POA6121,0,19,7,7,16,18,9,18,0,95,6,10,4,9,11,8,8,11,12,73,81,252,201,125,260,305,97,315,33,1662
POA6122,13,92,62,42,105,98,44,89,7,547,22,50,30,22,97,139,22,71,89,540,540,1398,1145,787,2098,2153,771,1884,182,10957
POA6123,0,11,3,3,5,11,4,3,0,47,4,8,8,5,10,8,3,17,6,59,82,120,124,93,175,199,65,222,12,1082
POA6124,0,0,3,0,5,4,0,5,0,25,0,6,6,0,0,3,8,4,11,34,27,72,53,36,94,124,44,109,26,589
POA6125,6,11,11,7,16,16,3,16,0,86,10,9,13,9,9,21,5,9,21,108,105,208,201,140,225,326,102,332,51,1683
POA6126,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,14,23,12,13,12,21,9,24,3,126
POA6147,8,51,48,26,67,53,16,27,10,313,5,53,40,29,71,73,17,41,68,411,244,1087,943,562,1567,1311,404,781,137,7035
POA6148,9,66,48,34,47,72,7,35,4,318,12,73,33,28,67,108,17,60,51,447,307,1548,1101,707,1679,1871,511,1063,103,8893
POA6149,11,59,41,17,61,64,20,27,3,298,9,71,30,14,71,92,26,45,43,398,325,1632,1092,678,1696,1973,607,1114,91,9214
POA6150,4,44,39,21,39,30,10,21,0,210,11,42,24,18,30,60,12,25,37,254,208,1254,796,452,1030,1255,374,729,79,6175
POA6151,3,52,36,22,53,59,15,32,0,262,15,48,38,24,46,86,22,46,49,370,327,1514,1139,655,1529,2030,630,1533,90,9450
POA6152,19,77,54,27,76,90,31,57,8,435,14,68,47,39,79,126,27,62,86,553,518,2201,1638,975,2397,2889,931,1923,165,13638
POA6153,10,52,49,25,42,50,21,39,5,300,10,75,48,29,67,107,14,70,67,495,367,1914,1313,770,1703,2284,682,1687,134,10843
POA6154,0,31,27,18,35,30,7,23,0,173,3,35,21,16,30,53,21,19,26,220,194,838,683,410,843,1074,366,749,52,5214
POA6155,33,161,116,88,185,189,46,89,7,906,32,174,142,74,241,303,77,116,171,1339,864,4217,3200,2040,5489,5737,1510,3095,378,26536
POA6156,12,60,51,21,46,57,21,35,3,298,10,56,39,10,51,79,23,63,38,371,348,1624,1169,680,1412,1789,661,1455,86,9221
POA6157,14,52,52,21,33,41,13,30,0,250,19,41,28,14,49,73,11,43,22,305,390,1267,945,599,1229,1477,553,1129,64,7646
POA6158,4,25,16,7,13,17,9,19,3,121,4,24,17,9,24,23,4,28,17,142,156,718,486,337,534,766,282,693,45,4016
POA6159,3,19,3,3,11,7,6,9,0,61,0,10,14,3,13,17,5,16,9,92,100,340,230,177,268,425,148,344,25,2073
POA6160,4,20,22,19,29,29,7,23,0,154,8,32,30,12,22,43,5,36,28,214,205,749,665,423,790,1013,323,820,58,5050
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,18,13,36,15,14,16,0,126
POA6162,0,37,39,28,40,32,6,24,0,211,12,44,39,18,35,62,18,41,29,293,324,1052,847,531,888,1153,419,939,63,6213
POA6163,39,180,158,99,210,205,65,116,10,1076,40,184,117,93,214,288,66,193,173,1355,1210,4247,3359,2216,5086,5655,1735,3750,386,27634
POA6164,51,279,186,145,272,298,96,171,13,1511,44,193,121,93,345,427,116,224,217,1782,1501,4759,4047,2722,7368,7985,2390,5151,487,36416
POA6165,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,15,3,3,0,35
POA6166,13,54,42,23,46,36,13,37,7,275,11,34,30,15,49,68,11,48,43,308,261,876,668,413,955,1067,394,925,88,5653
POA6167,14,73,59,31,123,107,38,51,5,499,29,74,55,28,122,149,43,89,112,709,574,1731,1395,951,2530,2400,800,1872,257,12506
POA6168,9,65,46,38,57,91,17,46,8,378,28,50,25,28,94,95,20,76,83,513,580,1353,1125,788,1899,1944,624,1712,194,10214
POA6169,20,94,72,37,111,118,38,74,10,581,40,62,51,59,131,136,41,103,110,730,874,2208,1793,1160,2901,2896,929,2461,233,15451
POA6170,11,42,50,15,75,72,21,50,4,346,8,36,39,16,74,96,21,61,73,424,371,1084,980,617,1928,1858,535,1298,171,8833
POA6171,18,125,101,54,134,124,55,90,9,712,29,71,60,33,131,175,51,125,134,822,915,2326,1952,1268,3418,3682,1203,3404,319,18478
POA6172,7,38,27,19,42,33,10,37,3,205,14,22,27,13,50,67,21,36,44,304,361,874,724,462,1164,1112,395,1077,118,6278
POA6173,9,37,29,16,40,34,11,31,3,210,19,32,12,13,45,68,14,48,46,296,312,1013,709,473,1109,1318,425,1212,92,6664
POA6174,0,22,14,12,21,18,8,17,0,110,5,20,12,4,18,31,8,16,24,142,155,430,311,213,503,525,182,490,55,2869
POA6175,3,17,12,3,18,16,6,14,0,76,4,9,0,9,17,26,5,17,8,90,121,304,242,150,327,352,130,377,31,2038
POA6176,0,11,5,10,6,12,5,9,0,51,3,6,3,0,7,13,4,14,12,57,65,140,123,75,158,181,92,187,19,1035
POA6180,7,29,10,8,20,35,6,19,0,141,7,25,15,5,23,32,3,17,27,149,183,495,359,227,526,535,206,552,52,3127
POA6181,0,0,4,0,0,6,0,3,0,11,0,4,0,0,7,6,0,3,3,27,14,38,29,18,49,42,22,59,0,270
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,8,3,0,0,10,0,16,0,39,0,0,6,0,6,3,0,6,6,35,29,85,52,28,93,86,46,142,17,574
POA6208,13,35,35,18,24,29,14,33,5,207,9,26,17,18,18,28,7,38,42,204,309,791,616,383,867,718,291,1009,113,5100
POA6209,0,13,7,6,9,6,0,4,0,43,0,5,6,0,4,7,0,4,4,22,52,134,105,70,129,103,39,132,12,771
POA6210,39,212,164,77,210,210,66,124,9,1113,65,185,129,65,160,191,60,176,241,1272,1719,4836,3775,2247,5081,4575,1615,5142,577,29570
POA6211,9,30,23,14,14,26,5,22,0,140,5,9,13,7,17,28,6,27,27,142,236,587,436,267,505,454,229,674,73,3464
POA6213,0,0,3,0,0,0,0,0,0,9,0,6,0,0,4,0,0,5,5,14,26,50,26,12,42,40,21,66,9,294
POA6214,0,0,5,0,0,0,3,4,0,12,4,0,0,0,0,0,0,0,3,9,18,41,36,24,46,46,21,75,5,322
POA6215,0,7,6,4,9,4,0,9,0,47,5,12,9,6,10,10,6,10,19,80,131,268,192,140,264,213,105,386,50,1750
POA6218,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,7,5,10,23,32,24,12,36,30,8,46,14,218
POA6219,0,0,0,0,6,0,0,0,0,6,0,0,3,0,5,0,3,0,4,15,16,40,40,20,36,38,22,55,8,275
POA6220,0,13,5,0,3,16,0,9,3,46,0,15,11,3,17,10,6,12,13,83,74,320,196,116,384,367,130,374,41,2008
POA6221,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,7,12,15,17,16,17,11,19,42,3,151
POA6223,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,5,12,17,6,7,16,4,32,0,103
POA6224,0,8,0,5,0,4,4,7,0,27,0,3,0,0,6,0,3,4,7,27,31,76,64,34,75,82,26,112,23,519
POA6225,8,35,19,8,22,19,15,24,5,161,11,12,10,5,16,13,10,22,43,144,217,563,436,229,465,700,254,611,96,3581
POA6226,0,3,4,3,0,0,0,0,0,19,0,3,0,4,0,3,0,0,4,20,23,66,59,31,61,105,41,110,9,499
POA6227,0,12,3,0,0,6,0,3,0,16,0,0,0,4,0,0,0,3,4,15,14,48,50,26,44,86,26,83,9,393
POA6228,0,3,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,13,15,8,0,3,10,8,11,0,69
POA6229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,13,9,5,13,7,16,0,63
POA6230,25,127,102,63,196,150,70,119,5,862,36,96,49,44,106,115,47,120,134,741,1067,2998,2427,1693,3677,3725,1396,3434,295,20709
POA6232,7,49,24,12,36,33,19,38,0,228,13,20,13,9,30,31,18,35,34,206,299,774,646,410,865,977,384,937,74,5364
POA6233,22,75,43,38,51,59,24,59,4,365,13,42,28,14,50,54,21,65,58,346,542,1422,1062,722,1527,1772,689,1840,131,9715
POA6236,0,8,4,3,7,11,4,13,0,43,0,8,8,4,5,12,5,11,10,47,78,187,129,88,142,195,80,236,19,1156
POA6237,0,4,4,0,3,7,3,9,3,38,5,6,0,0,4,9,0,10,24,62,101,180,156,103,166,225,78,296,39,1342
POA6239,3,13,7,10,10,15,6,11,4,77,16,12,8,5,10,16,3,18,19,106,126,309,209,191,270,344,147,436,46,2079
POA6240,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,4,13,12,8,10,18,4,18,4,92
POA6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,3,4,0,8,0,5,0,36
POA6244,0,3,4,0,0,3,0,3,0,17,3,7,0,0,4,0,0,8,8,28,50,86,71,52,49,124,38,198,20,694
POA6251,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,16,31,22,9,18,25,4,36,6,148
POA6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,9,7,13,12,18,6,71
POA6253,0,4,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,4,7,20,53,30,18,38,44,16,56,3,276
POA6254,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,12,14,23,21,10,20,37,11,64,7,214
POA6255,4,8,8,11,4,15,3,12,0,69,4,16,4,0,0,10,0,8,17,57,106,313,259,152,235,289,88,404,44,1881
POA6256,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,6,17,35,22,24,27,38,10,55,8,241
POA6258,3,16,13,20,17,29,13,22,0,123,5,27,16,6,27,35,7,22,23,158,183,417,354,279,496,588,214,537,68,3123
POA6260,0,0,0,0,5,5,0,0,0,14,5,9,0,0,3,5,0,0,5,24,33,113,70,65,96,137,27,145,17,704
POA6262,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,4,0,4,0,16,16,64,55,21,24,43,12,70,4,311
POA6271,0,15,11,9,12,16,8,4,0,72,4,18,0,3,10,10,0,11,7,69,93,239,195,140,233,297,90,300,34,1621
POA6275,0,0,3,0,0,3,0,0,0,8,0,9,0,0,0,4,0,3,4,23,32,119,83,57,77,89,22,124,12,611
POA6280,23,108,71,46,102,107,38,61,4,558,25,69,46,45,57,68,25,59,81,468,817,2378,1882,1277,2184,2289,847,2211,193,14085
POA6281,10,30,23,9,17,23,9,11,0,132,9,35,28,15,18,28,4,27,23,192,314,760,599,377,525,684,203,571,70,4117
POA6282,0,6,3,5,0,0,0,0,0,18,0,5,4,0,0,4,0,0,6,32,63,161,95,70,80,125,49,113,12,772
POA6284,0,13,6,3,6,11,0,6,0,43,5,8,6,6,7,6,0,15,6,60,92,257,215,127,172,242,82,231,27,1445
POA6285,12,37,21,18,33,23,14,15,0,174,12,34,28,21,28,36,4,34,35,232,403,965,755,536,761,907,305,728,86,5437
POA6286,0,0,3,0,0,4,0,0,0,12,0,3,8,0,0,0,5,8,5,19,30,78,70,33,49,60,11,80,11,423
POA6288,0,0,0,5,3,0,3,3,0,8,0,4,0,0,0,6,0,0,5,9,29,52,46,31,42,34,18,79,10,337
POA6290,0,8,9,0,0,5,0,0,0,24,4,11,4,0,0,3,0,4,7,37,45,149,120,65,65,97,18,91,16,656
POA6302,3,10,3,3,10,12,3,6,0,47,3,7,0,0,8,5,0,8,28,68,85,206,176,126,182,207,82,308,45,1421
POA6304,0,3,0,0,0,0,0,5,0,16,0,0,0,4,3,3,0,9,8,28,51,93,80,47,63,111,29,143,18,643
POA6306,0,4,0,0,0,0,3,4,0,13,0,0,0,0,0,8,0,0,5,14,26,58,46,28,44,61,28,131,6,420
POA6308,0,3,0,4,0,7,0,3,0,15,3,3,3,0,0,4,0,3,0,19,37,91,62,34,54,109,45,179,13,627
POA6309,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,4,12,19,14,20,24,8,37,0,130
POA6311,0,0,0,0,4,0,0,0,0,6,0,0,0,0,6,0,0,0,4,10,13,26,41,22,28,57,15,69,7,284
POA6312,4,9,11,3,22,24,6,19,0,104,0,8,4,3,4,17,10,5,22,71,88,248,218,182,297,428,145,360,43,2016
POA6313,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8,3,20,12,9,16,21,5,35,0,119
POA6315,4,6,0,0,0,9,5,4,0,40,0,5,0,0,5,5,5,4,7,34,63,122,103,54,80,116,49,187,21,807
POA6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,14,14,15,27,13,53,0,176
POA6317,3,9,0,4,13,27,3,14,0,86,7,15,8,11,9,14,0,10,14,91,90,250,182,134,363,385,113,267,46,1834
POA6318,0,0,0,0,0,0,0,5,0,8,0,6,0,0,0,0,0,0,0,7,11,28,36,16,17,35,27,65,5,234
POA6320,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,6,12,31,23,19,19,42,18,68,4,234
POA6321,0,3,3,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,9,18,39,18,16,14,43,17,59,0,226
POA6322,0,0,0,0,0,0,0,3,0,6,0,0,3,0,0,0,0,0,4,4,4,11,13,8,9,13,6,27,4,99
POA6323,0,3,0,0,6,0,0,5,0,18,10,3,8,3,3,3,0,0,3,33,31,58,56,34,58,59,18,81,8,398
POA6324,6,8,5,3,9,11,0,12,0,51,0,10,8,8,0,11,0,12,17,61,101,239,195,122,210,269,112,290,46,1603
POA6326,0,0,0,3,3,0,0,0,0,6,5,0,0,0,4,0,0,3,0,12,17,35,36,24,41,39,29,59,4,287
POA6327,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,7,6,25,9,6,16,16,3,29,0,116
POA6328,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,32,24,17,23,28,16,68,10,225
POA6330,35,104,88,64,148,159,42,88,7,728,41,109,62,38,61,84,24,75,113,603,919,2887,2212,1575,2949,3033,1159,2234,290,17254
POA6333,7,18,14,9,9,16,3,11,0,86,7,18,13,4,8,5,3,16,17,102,166,530,396,249,295,377,114,411,55,2592
POA6335,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,5,0,4,0,13,10,58,27,18,29,76,30,102,7,351
