POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA6125,37,7,47,489,260,31,780,1737,541,3062
POA6126,3,0,3,31,9,3,39,169,19,229
POA6147,199,11,216,2389,921,91,3403,8231,631,12268
POA6148,480,97,583,3356,1230,108,4686,10141,637,15469
POA6149,448,64,512,3418,1570,121,5110,9873,482,15466
POA6150,389,97,492,1944,1092,65,3099,7525,586,11207
POA6151,236,52,290,2460,1119,97,3674,10290,828,14794
POA6152,733,197,942,3705,1606,156,5473,15677,1266,22412
POA6153,486,16,510,3659,1610,123,5394,11666,629,17690
POA6154,509,44,568,1909,633,67,2608,5752,294,8660
POA6155,606,30,647,10354,3141,287,13784,26548,2526,42858
POA6156,528,102,641,3279,1127,168,4579,9373,801,14751
POA6157,397,42,439,2470,956,120,3549,7988,589,12128
POA6158,212,40,254,1329,575,72,1975,4167,299,6439
POA6159,110,4,114,501,335,23,854,2442,187,3481
POA6160,155,10,166,1054,584,53,1692,5834,741,8265
POA6161,0,0,0,17,3,0,22,110,22,149
POA6162,315,12,330,1988,738,111,2831,6750,552,10137
POA6163,1134,325,1479,8189,3491,404,12077,31410,2786,46271
POA6164,484,69,560,13674,3492,538,17707,31476,2253,51437
POA6165,0,0,0,3,3,0,6,54,6,61
POA6166,157,17,180,1799,773,82,2649,5721,500,8873
POA6167,338,33,373,4897,1430,234,6559,13473,2532,22573
POA6168,662,152,825,2954,1636,141,4721,14652,2060,21438
POA6169,587,166,762,5469,2397,325,8197,18476,1900,28573
POA6170,38,4,49,3831,817,151,4803,7294,725,12824
POA6171,158,9,169,8204,1877,400,10479,15483,1609,27574
POA6172,176,39,216,2322,855,151,3326,6516,665,10504
POA6173,43,3,46,2633,670,136,3438,5459,433,9331
POA6174,18,0,15,1150,271,73,1489,2494,263,4240
POA6175,31,7,35,801,268,44,1113,1792,136,3042
POA6176,9,0,15,452,122,22,594,852,90,1542
POA6180,38,5,46,1404,386,94,1881,2904,271,5063
POA6181,6,0,6,72,54,7,124,256,5,394
POA6182,0,0,0,0,0,0,0,0,0,0
POA6207,10,0,7,216,80,15,307,542,107,959
POA6208,257,65,325,1801,759,114,2676,7028,835,10541
POA6209,39,6,50,230,125,9,369,1216,173,1757
POA6210,2164,401,2584,10131,4634,524,15289,43055,4335,62679
POA6211,67,12,80,1309,552,55,1914,4603,373,6890
POA6213,17,0,18,92,27,3,121,366,55,542
POA6214,4,0,4,98,43,7,151,355,41,545
POA6215,79,27,106,578,260,35,869,2337,334,3533
POA6218,9,0,12,78,32,3,115,279,34,434
POA6219,9,0,12,97,30,0,131,334,35,502
POA6220,124,14,146,568,248,28,846,2518,231,3602
POA6221,6,0,6,36,14,0,44,200,18,264
POA6223,0,0,0,27,12,0,38,87,4,129
POA6224,18,0,18,171,71,11,255,676,99,1029
POA6225,123,52,179,1231,621,78,1927,4938,659,7523
POA6226,0,0,3,180,64,5,247,443,41,735
POA6227,3,0,9,179,36,7,220,334,38,589
POA6228,3,0,3,20,9,0,32,72,18,119
POA6229,0,3,4,11,0,0,21,122,26,167
POA6230,858,161,1030,7034,2728,395,10161,23629,2894,36676
POA6232,226,81,303,2045,660,110,2815,5593,605,9011
POA6233,187,18,208,3755,1178,234,5161,9920,831,15909
POA6236,29,7,32,319,152,26,491,1212,127,1834
POA6237,23,4,29,434,203,25,663,1330,160,2153
POA6239,102,6,106,668,248,33,954,2612,265,3832
POA6240,0,0,0,18,18,0,35,101,12,148
POA6243,4,0,4,9,3,0,12,50,5,70
POA6244,27,3,33,233,88,17,333,797,148,1279
POA6251,0,0,0,47,16,0,68,179,18,261
POA6252,0,0,0,13,4,0,19,101,7,130
POA6253,11,0,16,71,55,4,132,404,41,571
POA6254,12,0,12,76,26,5,104,304,50,462
POA6255,74,9,86,618,215,19,853,2529,287,3666
POA6256,4,0,4,69,28,0,95,216,33,344
POA6258,131,11,146,869,300,49,1221,3740,400,5355
POA6260,34,9,43,170,45,7,227,817,153,1193
POA6262,19,0,19,84,29,0,120,433,78,627
POA6271,38,8,49,540,196,40,775,1817,202,2798
POA6275,27,3,30,164,73,4,244,904,156,1306
POA6280,822,90,925,4728,1640,273,6633,16810,1582,25018
POA6281,100,11,112,1558,518,70,2148,4077,542,6765
POA6282,16,0,16,271,90,7,369,779,94,1246
POA6284,31,0,32,617,107,42,764,1156,226,2145
POA6285,120,15,139,2036,531,135,2704,4979,694,8379
POA6286,7,0,5,152,34,5,199,415,60,678
POA6288,0,0,3,77,51,7,133,332,41,505
POA6290,90,13,106,175,84,12,274,1259,134,1660
POA6302,90,18,108,387,202,20,606,2097,293,2992
POA6304,47,7,58,174,85,17,273,1012,178,1468
POA6306,41,3,41,133,53,7,194,543,71,810
POA6308,26,7,37,197,86,3,280,893,152,1326
POA6309,5,0,7,30,10,0,34,185,31,256
POA6311,10,0,10,88,29,0,118,344,46,506
POA6312,105,48,154,597,233,19,853,2479,440,3770
POA6313,0,0,0,39,15,0,57,129,14,203
POA6315,44,5,47,245,98,8,353,1046,179,1577
POA6316,5,0,3,65,17,4,83,195,35,313
POA6317,75,18,100,517,175,28,726,2229,345,3293
POA6318,0,0,0,79,19,5,94,241,43,380
POA6320,8,0,8,71,22,3,99,273,62,435
POA6321,3,3,4,67,22,4,92,253,41,393
POA6322,7,0,7,32,12,3,57,122,22,198
POA6323,10,5,7,127,48,3,177,618,86,890
POA6324,71,35,106,467,188,37,695,1981,422,3100
POA6326,8,0,8,70,31,7,104,283,47,441
POA6327,3,3,5,47,16,3,63,119,28,212
POA6328,0,0,0,71,23,3,98,213,31,347
POA6330,1021,128,1156,5523,2136,329,7985,21192,2224,31396
POA6333,130,22,155,906,325,68,1301,3428,490,5225
POA6335,8,0,12,126,50,5,185,353,47,585
POA6336,0,0,0,67,18,0,87,162,27,277
POA6337,0,3,0,101,29,4,137,216,60,414
POA6338,7,3,6,129,25,5,155,405,27,585
POA6341,0,0,0,55,6,4,63,117,12,195
POA6343,0,0,0,42,3,4,48,91,31,174
POA6346,15,0,15,149,40,4,196,412,75,684
POA6348,12,6,16,156,29,10,194,607,96,903
POA6350,6,0,0,46,18,5,69,159,55,273
POA6351,0,0,0,12,0,0,12,26,3,47
POA6352,0,0,0,27,13,0,41,55,32,130
POA6353,8,0,9,143,38,3,185,405,42,633
POA6355,4,0,4,76,28,3,108,214,30,354
POA6356,0,0,0,19,0,0,25,60,7,97
POA6357,0,0,0,9,4,0,13,27,10,52
POA6358,5,0,5,20,5,0,23,46,17,79
POA6359,6,5,14,67,19,4,90,215,54,357
POA6361,0,0,0,18,7,0,23,46,18,85
POA6363,0,0,0,18,5,0,21,48,4,73
POA6365,4,0,8,92,41,4,131,246,45,424
POA6367,9,0,6,40,20,0,64,201,22,285
POA6368,0,0,0,16,12,0,28,29,10,64
POA6369,25,13,37,98,31,4,136,310,92,542
POA6370,8,4,6,68,26,0,96,206,54,360
POA6372,7,0,7,13,0,0,15,64,16,87
POA6373,0,0,0,15,7,0,23,41,0,68
POA6375,37,6,42,113,51,3,166,506,60,731
POA6383,34,9,39,84,49,3,136,448,206,788
POA6384,0,0,0,3,0,0,3,11,3,21
POA6385,0,0,0,0,0,0,6,12,0,17
POA6386,0,0,0,9,0,0,8,42,40,94
POA6390,14,3,20,274,73,12,360,811,129,1302
POA6391,18,3,17,171,59,16,249,476,99,821
POA6392,11,4,15,52,19,4,69,248,39,358
POA6393,0,0,0,15,5,0,22,55,10,92
POA6394,8,0,8,63,29,0,92,271,45,404
POA6395,48,7,53,238,82,15,337,785,109,1232
POA6396,5,0,3,64,3,4,73,195,28,297
POA6397,0,0,0,7,3,3,15,55,6,79
POA6398,8,3,13,51,22,0,77,392,29,499
POA6401,165,39,203,1052,442,60,1546,4215,1010,6775
POA6403,0,0,0,19,12,0,26,99,10,142
POA6405,5,0,5,61,21,6,87,141,38,264
POA6407,23,4,26,154,59,3,221,496,61,776
POA6409,8,0,6,54,10,6,67,202,44,315
POA6410,38,10,46,99,38,8,146,582,94,825
POA6411,0,0,0,13,8,0,20,78,19,120
POA6412,0,0,0,5,0,0,5,29,18,50
POA6413,0,0,0,5,0,0,4,42,7,57
POA6414,0,0,0,7,3,0,20,27,19,59
POA6415,60,5,69,394,140,21,559,1419,266,2241
POA6418,14,9,24,108,33,6,147,374,80,599
POA6419,0,0,0,9,3,0,9,33,3,46
POA6420,3,0,3,13,3,3,21,45,0,67
POA6421,0,0,3,29,3,4,33,72,22,137
POA6422,0,0,0,15,0,0,18,23,3,44
POA6423,8,0,8,17,7,0,21,98,17,131
POA6424,0,0,0,7,7,0,15,36,16,59
POA6425,0,0,0,12,6,0,16,43,9,75
POA6426,10,7,15,91,30,4,126,534,143,804
POA6427,0,0,0,7,0,0,5,38,43,93
POA6428,0,0,0,8,0,0,12,22,9,45
POA6429,4,0,4,87,47,3,143,476,190,812
POA6430,140,31,173,3875,922,179,4975,10508,1510,16995
POA6431,0,0,0,142,112,24,278,372,154,806
POA6432,29,0,26,987,284,53,1326,3144,1133,5607
POA6434,0,0,0,22,0,0,24,74,70,172
POA6436,0,0,0,3,3,0,9,84,47,140
POA6437,0,0,0,127,26,3,152,250,184,589
POA6438,3,0,3,64,32,13,104,352,273,732
POA6440,5,0,5,136,42,4,170,574,450,1197
POA6442,10,6,12,365,103,19,487,998,443,1930
POA6443,4,0,3,55,13,0,60,440,141,643
POA6445,0,0,0,39,11,3,48,60,12,124
POA6446,0,0,0,22,4,0,28,59,6,92
POA6447,0,0,0,35,19,0,52,81,4,139
POA6448,5,0,6,57,15,0,75,194,44,312
POA6450,249,20,278,1910,692,121,2727,6686,1192,10603
POA6452,0,0,0,0,0,0,0,4,0,4
POA6460,18,6,26,99,29,3,135,354,80,569
POA6461,10,0,6,65,42,6,115,253,29,399
POA6462,0,0,0,33,10,0,47,64,9,119
POA6463,0,0,0,10,3,0,10,8,0,16
POA6465,0,0,0,3,3,0,8,30,4,41
POA6466,0,0,0,14,5,0,11,27,4,50
POA6467,0,0,0,5,0,0,8,21,0,28
POA6468,0,0,0,31,6,0,37,96,31,163
POA6470,0,0,0,3,0,0,9,0,0,6
POA6472,3,0,3,21,9,0,37,80,11,127
POA6473,0,0,0,17,0,0,16,12,3,36
POA6475,6,0,6,57,18,3,83,197,12,291
POA6476,5,0,5,5,7,0,11,33,0,39
POA6477,7,0,7,25,17,0,40,132,21,200
POA6479,4,4,11,91,27,3,121,271,53,449
POA6480,0,0,0,4,3,0,3,19,9,33
POA6484,0,0,0,3,0,0,3,21,4,28
POA6485,3,4,9,42,21,0,65,280,48,388
POA6487,0,0,0,5,0,0,7,30,0,41
POA6488,0,0,0,11,7,0,25,105,19,148
POA6489,0,0,0,10,0,0,12,55,16,84
POA6490,3,0,4,24,19,0,41,127,51,217
POA6501,10,0,13,138,58,6,203,517,59,775
POA6502,22,7,28,128,75,10,208,689,110,1009
POA6503,24,0,30,343,128,15,488,1306,154,1951
POA6504,3,0,3,29,10,0,31,106,40,183
POA6505,0,0,0,27,3,0,33,65,6,106
POA6506,0,0,0,6,0,0,5,39,4,53
POA6507,0,0,4,68,25,0,94,269,86,451
POA6509,0,0,0,18,9,0,27,76,20,125
POA6510,43,10,50,227,117,5,355,1005,203,1565
POA6511,12,4,16,58,20,0,77,304,37,416
POA6512,5,0,5,12,3,0,15,54,8,78
POA6513,0,0,0,33,14,3,48,71,12,133
POA6514,7,10,17,50,41,4,93,419,62,577
POA6515,4,0,6,42,12,0,61,156,48,267
POA6516,33,6,36,217,89,13,318,1224,167,1710
POA6517,6,0,11,51,13,0,69,211,61,339
POA6518,0,5,6,18,12,0,33,117,40,191
POA6519,7,0,6,84,20,3,108,277,68,455
POA6521,7,0,7,43,15,0,64,206,31,293
POA6522,6,4,9,55,19,0,77,199,58,331
POA6525,68,14,78,445,161,30,637,2119,367,3126
POA6528,9,0,10,57,22,3,79,204,29,313
POA6530,627,139,771,4758,1850,291,6897,17098,2853,26850
POA6532,57,9,66,1170,390,62,1625,3253,521,5405
POA6535,53,5,61,179,82,9,271,886,177,1334
POA6536,25,4,27,152,70,0,225,875,195,1293
POA6537,3,5,8,125,31,6,160,550,128,837
POA6556,22,0,22,311,125,17,457,1090,101,1640
POA6558,9,7,6,111,50,7,162,437,1899,2494
POA6560,14,0,15,184,70,4,257,758,106,1123
POA6562,10,5,12,187,72,18,277,746,119,1140
POA6564,4,0,4,37,22,4,59,197,21,280
POA6566,52,10,63,332,199,27,557,1921,371,2856
POA6567,6,0,8,50,20,0,67,295,66,423
POA6568,3,0,3,28,4,0,35,133,18,182
POA6569,5,0,5,37,8,0,53,138,24,215
POA6571,0,0,0,3,0,0,4,49,10,57
POA6572,0,0,0,7,5,0,14,28,9,45
POA6574,0,0,0,11,3,0,11,40,4,55
POA6575,0,0,0,22,8,0,27,44,12,83
POA6603,16,0,21,173,50,6,232,570,88,891
POA6605,0,0,0,7,7,0,8,18,7,36
POA6606,3,0,3,20,4,0,20,91,4,112
POA6608,0,0,0,19,5,0,25,57,28,115
POA6609,22,0,25,130,55,4,193,362,107,665
POA6612,8,0,12,22,4,0,28,84,17,121
POA6613,3,0,3,13,4,0,16,22,0,40
POA6614,0,0,0,0,0,0,3,17,0,18
POA6616,0,0,0,0,0,0,0,29,15,45
POA6620,6,4,8,62,16,5,79,218,147,447
POA6623,17,8,22,70,23,3,94,256,96,444
POA6625,0,0,0,9,0,0,7,33,0,42
POA6627,0,0,0,6,7,0,13,35,3,45
POA6628,0,0,0,3,0,0,3,7,0,14
POA6630,3,0,3,60,22,3,84,219,81,386
POA6631,0,0,0,0,0,0,0,13,0,13
POA6632,0,0,0,14,0,0,13,28,0,44
POA6635,0,0,4,32,9,3,46,133,149,331
POA6638,0,0,9,53,17,0,69,219,247,531
POA6639,0,0,0,4,0,0,4,67,36,113
POA6640,0,0,0,9,0,0,10,165,34,209
POA6642,0,0,0,127,56,7,193,540,290,1028
POA6646,0,0,0,46,23,0,70,224,150,452
POA6701,47,14,70,624,223,66,910,2624,744,4281
POA6705,0,0,0,18,11,10,47,72,14,129
POA6707,14,3,16,474,107,33,614,1641,262,2521
POA6710,4,0,6,146,39,24,210,373,144,729
POA6712,0,0,0,0,0,0,0,8,42,45
POA6713,0,0,0,282,52,10,345,469,112,928
POA6714,6,4,11,3437,548,169,4156,6614,2373,13141
POA6716,0,0,0,211,23,25,256,412,164,835
POA6718,0,0,0,80,101,20,201,362,264,828
POA6720,0,0,0,429,98,26,558,781,330,1659
POA6721,3,0,3,795,157,56,1008,1812,511,3337
POA6722,20,7,23,1947,408,116,2467,4525,1466,8465
POA6725,36,10,50,1689,553,132,2374,4719,1463,8556
POA6726,15,7,25,860,244,67,1170,2600,648,4414
POA6728,24,7,23,637,358,73,1066,2108,979,4154
POA6740,0,4,4,153,185,17,357,538,238,1134
POA6743,14,9,22,845,394,145,1381,2710,874,4970
POA6751,0,0,0,773,124,53,945,1492,605,3046
POA6753,6,0,6,1104,236,85,1425,2686,1293,5402
POA6754,0,0,0,232,34,11,270,506,238,1018
POA6758,0,3,4,114,56,30,200,458,474,1130
POA6760,3,0,3,57,78,35,169,392,296,853
POA6762,0,0,0,68,90,29,185,246,155,589
POA6765,9,0,9,279,160,38,472,685,132,1283
POA6770,3,3,11,278,372,161,813,1170,374,2358
