POA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA6012,16,10,11,0,0,0,37,0,0,4,0,0,0,0,5,0,0,0,0,0,7,7,0,0,0,0,0,9,4,0,0,0,0,0,9,8,3,9,0,0,0,22,13,8,11,0,0,0,33,7,6,0,0,5,0,20,9,8,8,0,0,0,21,0,6,4,0,0,0,16,5,7,3,0,0,0,15,17,19,15,0,0,0,48,8,9,5,0,0,0,21,5,17,7,0,0,0,33,9,18,3,0,0,0,42,35,90,17,3,9,0,161,24,79,25,4,0,0,135,28,109,42,3,6,0,193,15,27,17,4,11,0,73,203,436,185,35,32,4,887
POA6014,39,44,18,0,4,0,106,6,0,0,0,0,0,5,8,9,9,0,0,4,28,10,3,6,0,0,0,21,11,11,0,0,4,0,34,24,18,12,6,6,0,63,16,40,10,5,3,0,73,19,31,6,4,4,0,64,18,36,11,4,6,0,72,13,32,8,5,4,0,68,13,27,12,0,0,0,50,34,71,22,14,3,0,150,15,29,15,3,4,0,61,18,51,9,9,0,0,88,36,79,29,0,3,0,151,84,291,69,14,9,4,467,41,209,42,11,4,0,310,61,280,70,9,5,4,427,20,57,23,0,5,6,108,488,1319,380,88,64,20,2362
POA6015,21,24,6,0,4,0,50,5,3,0,0,0,0,6,0,6,3,0,0,0,10,0,0,0,0,0,0,0,6,0,4,0,0,0,9,3,4,4,0,0,0,11,7,4,3,0,0,0,19,8,8,8,0,0,0,26,5,5,7,0,0,0,15,0,5,8,0,0,0,10,4,3,0,0,0,0,10,3,12,14,0,5,0,31,4,8,0,0,0,0,12,0,3,0,0,0,0,10,3,7,4,0,0,0,20,16,36,22,0,4,0,80,18,53,13,3,0,0,87,38,131,76,7,8,0,255,9,30,22,0,0,0,59,144,325,195,13,23,5,705
POA6016,9,5,8,6,4,0,28,0,5,7,0,0,0,7,9,3,0,0,0,0,19,5,10,0,0,0,0,12,8,12,6,0,4,0,29,17,17,5,3,0,0,45,14,19,15,0,3,0,49,15,16,3,3,3,0,47,18,24,10,4,5,0,58,14,25,10,4,0,0,53,17,24,8,3,5,0,53,24,54,16,4,5,0,98,11,30,0,0,3,0,55,10,32,10,0,4,0,55,28,78,3,7,5,0,119,42,160,15,7,8,0,236,23,78,14,3,0,0,113,20,62,6,0,0,0,93,14,19,10,3,3,0,48,286,682,143,42,56,9,1215
POA6017,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,5,5,0,3,0,3,0,13,8,9,0,0,0,0,16,14,9,0,0,0,0,23,22,12,0,0,0,0,37,19,12,0,0,0,0,35,12,11,0,0,0,0,25,10,18,3,0,0,3,37,7,8,0,0,0,0,12,0,6,0,0,0,0,6,3,9,0,0,0,0,17,4,7,4,0,0,0,23,0,0,0,0,0,0,4,0,3,0,0,0,0,3,4,0,0,0,0,0,13,126,102,21,7,12,11,281
POA6018,55,61,46,11,16,0,188,7,11,3,0,0,0,26,16,21,18,3,0,0,55,18,16,10,0,4,0,47,30,30,23,5,3,0,91,34,32,13,7,12,0,97,45,48,44,10,18,0,163,56,70,43,19,16,0,198,72,91,21,26,20,0,233,106,97,31,21,14,3,282,95,103,35,12,11,0,257,145,266,82,35,18,3,549,71,118,29,6,13,5,250,58,135,30,6,4,4,239,114,281,58,13,13,0,478,185,587,130,28,26,5,962,87,286,65,13,9,0,461,49,196,62,13,7,0,326,69,123,50,4,12,4,267,1322,2570,783,260,219,34,5180
POA6019,40,32,21,3,7,0,108,8,0,4,0,0,0,16,20,8,5,0,0,4,38,9,5,4,4,3,0,20,12,13,0,4,3,0,37,30,12,12,3,13,0,73,29,35,13,0,5,0,88,39,25,6,6,10,0,95,44,28,9,9,9,0,105,56,47,21,14,12,0,151,39,59,19,15,4,0,137,101,124,25,30,14,0,291,52,73,12,10,8,0,156,46,66,19,6,4,0,142,78,155,26,8,7,0,274,139,257,65,15,14,0,493,54,125,35,9,6,0,222,54,100,27,3,6,0,188,55,51,26,8,18,0,153,898,1221,351,149,151,14,2782
POA6020,41,28,32,7,7,0,116,5,4,10,0,4,0,24,17,8,15,0,0,0,45,17,7,8,0,0,0,28,17,20,14,3,8,0,58,22,22,17,0,0,0,68,18,45,21,0,8,0,90,23,30,28,6,4,0,97,27,45,27,8,6,0,107,37,60,23,5,5,0,129,11,66,12,4,6,0,106,56,100,50,12,10,0,233,20,56,17,6,3,0,100,24,75,26,9,0,0,130,47,183,43,8,6,0,296,98,335,108,7,5,0,550,42,135,42,8,4,0,234,55,129,39,7,7,0,239,42,80,40,8,9,4,183,617,1430,577,108,73,11,2824
POA6021,34,33,16,3,3,0,95,3,8,3,0,0,0,15,10,6,8,0,3,0,31,10,12,8,0,0,0,35,18,17,13,0,5,0,48,18,24,17,0,7,0,67,31,36,13,3,9,0,95,40,53,17,14,9,0,134,53,46,15,15,12,0,137,55,83,29,19,4,0,184,37,57,18,6,6,0,129,85,111,46,14,10,0,273,35,52,13,10,7,0,114,30,57,16,6,0,0,118,39,93,28,9,13,0,175,71,204,57,17,11,0,363,38,96,26,0,3,0,169,24,58,33,0,0,0,122,48,58,30,3,12,0,149,676,1101,402,119,124,18,2438
POA6022,3,13,6,0,0,0,23,3,0,0,4,0,0,4,0,4,0,0,0,0,9,0,5,0,0,0,0,8,4,4,4,5,0,0,15,3,0,0,0,0,0,14,8,14,5,3,4,0,38,5,17,3,4,4,0,41,11,22,5,5,0,0,46,30,30,3,0,6,0,71,23,32,7,5,6,0,64,33,47,8,3,4,0,96,15,36,8,5,0,0,65,5,13,4,4,0,0,29,20,33,6,3,4,0,69,20,46,13,0,6,0,75,3,15,6,3,0,0,24,0,7,4,0,0,0,12,16,15,3,0,3,0,43,213,347,91,45,48,3,748
POA6023,34,22,16,4,8,0,74,3,3,6,0,0,0,20,14,6,4,3,6,0,33,9,3,8,0,0,0,24,21,8,3,4,3,0,45,12,19,15,8,6,0,57,22,26,20,0,5,0,78,20,44,13,4,13,0,96,26,58,17,0,4,0,103,32,51,26,9,4,0,121,19,72,15,8,8,0,117,43,140,39,13,8,0,244,17,116,17,7,4,0,161,25,105,18,5,3,0,149,28,194,28,19,3,0,271,60,232,63,9,5,0,377,15,77,26,6,0,0,132,17,44,21,6,0,0,85,19,50,23,4,11,0,110,426,1284,384,110,81,8,2290
POA6024,25,19,11,4,7,0,65,4,6,0,0,5,0,10,9,3,5,0,8,0,24,8,6,4,3,0,0,17,10,14,4,3,3,0,39,12,19,8,4,7,0,49,12,29,20,4,12,0,77,36,47,18,8,10,0,118,36,57,22,13,13,0,140,51,83,27,22,10,0,194,50,80,19,5,10,4,165,96,147,38,10,20,5,311,25,79,13,11,10,0,136,18,57,13,4,7,0,100,33,130,21,9,5,3,200,33,86,33,9,4,0,161,14,28,7,4,0,0,56,15,9,11,0,3,0,37,23,37,21,0,7,0,88,509,926,291,110,142,16,2001
POA6025,69,41,30,8,15,5,165,19,6,12,0,3,0,41,24,10,16,0,10,0,69,17,16,9,0,4,0,50,18,36,25,3,12,0,97,45,35,27,13,8,5,127,54,45,25,12,19,3,161,75,90,44,10,23,0,237,80,122,29,16,23,4,270,112,149,45,22,26,0,357,107,167,26,15,14,3,333,140,282,77,24,31,3,557,54,138,17,16,6,0,227,55,141,22,9,4,0,245,76,252,40,17,17,0,400,117,334,107,13,15,0,582,54,133,45,6,7,0,250,29,88,48,6,5,0,179,71,101,62,16,20,3,271,1212,2187,708,213,258,34,4605
POA6026,42,30,29,7,8,5,123,16,10,8,0,0,0,33,17,9,17,0,0,0,48,12,14,12,3,10,0,53,24,22,16,4,0,0,65,36,18,33,4,12,0,106,39,51,34,8,15,0,141,25,49,46,13,13,0,151,42,72,24,23,12,0,177,54,92,47,13,11,3,230,52,110,32,14,10,3,215,116,240,83,28,18,0,479,42,149,39,11,3,0,249,21,127,27,3,12,0,194,63,210,66,14,9,0,368,72,184,99,13,6,0,376,28,56,29,0,0,0,113,14,34,15,0,0,0,64,40,78,37,8,11,0,176,756,1550,694,168,160,16,3351
POA6027,82,44,51,11,17,0,200,27,14,19,0,3,0,65,31,13,26,0,8,0,85,24,25,21,0,3,0,71,51,32,28,3,13,0,123,69,39,29,9,19,0,173,91,84,51,14,26,0,262,92,109,47,13,22,9,284,119,137,61,29,30,0,371,162,195,66,30,32,3,482,149,212,67,18,13,0,465,194,403,138,29,26,3,792,85,184,56,11,13,0,358,73,137,50,13,7,0,279,128,291,91,24,19,0,550,150,350,127,12,13,3,665,61,117,50,4,7,0,241,36,85,45,0,0,0,169,94,106,84,11,28,4,324,1726,2567,1102,249,297,27,5974
POA6028,57,16,44,8,15,3,138,18,5,10,0,4,0,38,28,12,17,3,0,0,57,14,6,14,0,4,0,43,23,7,24,0,11,0,65,34,29,28,10,8,6,109,52,44,34,8,17,0,161,62,54,44,9,10,0,188,57,59,56,7,16,3,196,92,119,61,12,12,4,302,67,110,43,8,15,0,244,132,204,110,17,18,3,487,51,117,52,3,5,5,234,43,85,37,11,11,0,186,101,208,99,10,12,0,424,120,288,151,4,15,0,580,53,109,76,3,10,0,253,44,79,52,3,3,0,188,61,84,74,9,12,0,244,1104,1642,1024,124,198,27,4121
POA6029,8,5,6,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,11,4,0,0,0,0,0,9,0,0,4,0,0,0,3,0,4,0,0,0,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,0,3,11,5,0,0,0,19,3,7,0,0,0,0,14,0,5,3,0,0,0,8,8,25,3,0,0,0,40,12,52,9,5,0,0,75,3,19,5,0,3,0,37,11,32,13,4,0,0,56,3,20,8,0,0,0,30,66,184,71,10,4,0,338
POA6030,64,23,38,14,10,0,153,16,4,9,4,3,0,29,18,17,28,8,14,0,80,35,8,11,0,9,0,68,46,15,33,13,19,6,123,59,43,42,18,27,5,192,73,90,46,25,42,0,287,149,169,68,44,45,7,489,145,237,95,57,51,6,593,210,303,100,44,47,4,701,133,264,93,31,20,10,557,201,296,128,47,49,0,721,91,177,60,9,14,3,352,64,111,49,14,8,0,237,104,191,117,20,15,3,456,142,212,144,24,24,5,553,52,65,55,4,8,0,178,38,59,28,3,5,0,129,97,114,91,15,28,3,347,1735,2409,1233,392,428,57,6262
POA6031,27,14,15,5,6,4,68,4,9,3,0,0,0,15,8,0,3,0,4,0,21,7,3,3,0,0,0,20,10,17,10,7,14,0,56,24,31,13,9,12,0,89,25,33,23,12,17,0,115,56,97,28,31,27,0,236,99,152,31,33,28,0,348,97,234,57,35,22,3,445,97,229,41,23,13,5,412,107,261,85,38,21,0,506,60,141,48,18,6,0,269,33,92,28,3,11,0,168,51,147,64,12,5,0,283,36,111,50,7,0,0,209,17,41,23,0,6,0,85,10,29,20,0,0,0,58,32,74,49,23,13,0,195,791,1691,600,264,207,29,3588
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,7,3,6,0,0,0,25
POA6033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,14,0,0,0,0,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0,0,3,17,12,15,3,0,0,47
POA6034,3,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,5,5,0,0,0,0,0,5,3,0,0,0,0,0,5,7,7,0,5,0,0,23,9,18,4,4,7,0,44,19,29,4,8,0,0,71,37,56,0,4,7,0,104,28,61,4,11,0,0,112,24,73,10,7,10,0,130,18,40,8,5,3,0,77,8,29,6,4,0,0,46,15,34,10,6,8,0,66,5,9,6,0,3,0,24,3,3,0,0,0,0,10,4,4,3,0,0,0,14,8,13,10,5,0,0,29,200,376,68,70,35,10,762
POA6035,17,8,9,3,3,0,33,3,4,0,0,0,0,8,3,0,0,7,0,0,13,7,0,7,0,0,0,18,8,6,0,3,0,0,26,14,17,4,4,5,0,49,16,20,13,8,4,0,64,39,52,14,17,18,0,136,52,67,18,21,13,5,168,46,100,23,21,11,3,204,41,110,24,18,8,0,204,56,144,47,34,12,3,291,14,70,15,8,5,0,122,23,42,3,3,0,0,70,37,65,18,3,9,0,129,30,44,27,6,6,0,108,13,11,7,0,0,0,32,6,11,4,0,0,0,19,41,48,20,3,9,4,117,464,821,259,157,96,13,1810
POA6036,16,9,12,0,5,0,39,4,0,3,0,0,0,9,4,0,4,0,0,0,13,9,3,0,0,8,0,22,7,9,3,6,8,0,39,25,23,5,3,4,0,57,35,34,16,9,12,3,111,63,69,25,14,19,0,194,61,101,38,23,13,5,244,77,154,45,28,21,0,319,56,136,45,20,13,8,277,93,164,76,22,17,0,371,40,94,39,7,5,0,193,33,56,26,4,3,0,125,57,120,72,16,7,0,270,64,96,52,11,13,0,233,25,23,26,0,3,0,80,12,26,13,3,0,0,52,36,66,30,7,9,0,147,711,1178,526,189,177,27,2804
POA6037,12,4,3,0,0,0,23,0,0,0,0,0,0,0,5,0,0,0,0,0,7,4,0,0,0,0,0,7,4,3,4,0,0,0,8,6,6,4,0,0,0,22,12,12,5,3,3,0,32,17,16,0,0,3,0,44,15,27,3,4,5,0,52,19,35,8,8,0,0,68,12,27,7,0,0,0,53,22,44,13,3,10,0,92,10,12,4,5,0,0,29,4,12,0,0,0,0,19,20,20,8,0,3,0,52,11,32,5,0,0,0,54,8,10,7,0,0,0,20,3,10,4,0,0,0,10,12,9,4,5,0,0,28,189,272,78,37,29,3,608
