POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6068,0,0,0,0,3
POA6069,2401,1300,603,180,20949
POA6070,405,340,184,37,2157
POA6071,415,305,153,30,2022
POA6072,98,66,17,10,466
POA6073,320,303,156,68,1699
POA6074,96,81,33,6,508
POA6076,2174,1979,1166,404,12229
POA6077,182,154,77,17,787
POA6078,108,68,22,0,444
POA6079,0,4,0,0,12
POA6081,528,324,118,29,2590
POA6082,323,215,89,14,1736
POA6083,433,247,101,20,1914
POA6084,821,433,162,29,4370
POA6090,0,0,0,0,12
POA6100,1233,787,238,71,10036
POA6101,1137,727,285,94,10510
POA6102,590,460,470,467,8332
POA6103,671,392,160,56,6565
POA6104,1080,665,334,203,8144
POA6105,873,608,310,110,8353
POA6106,0,4,0,0,7
POA6107,2418,1424,675,207,25291
POA6108,1564,1175,549,112,10968
POA6109,675,472,242,88,5667
POA6110,2439,1619,840,393,19993
POA6111,1972,1468,630,189,11598
POA6112,3491,2083,915,233,32970
POA6121,293,148,47,8,1452
POA6122,1070,575,204,47,9612
POA6123,139,73,28,10,999
POA6124,122,50,41,6,602
POA6125,305,187,89,21,1621
POA6126,33,28,9,0,150
POA6147,969,770,330,72,7352
POA6148,1595,1285,783,287,10547
POA6149,1795,1678,660,232,10574
POA6150,1230,1148,595,284,7710
POA6151,1739,1397,596,177,10945
POA6152,2229,1793,944,572,16018
POA6153,2141,1834,812,255,12798
POA6154,944,685,446,290,6077
POA6155,4000,2506,921,216,27172
POA6156,1598,963,603,309,10068
POA6157,1328,1043,491,206,8569
POA6158,884,655,308,166,4705
POA6159,505,426,244,91,2680
POA6160,1012,767,299,58,6194
POA6161,14,3,0,0,109
POA6162,1328,915,336,87,7200
POA6163,4629,3093,1425,624,29658
POA6164,3714,1999,742,265,33637
POA6165,10,0,0,0,29
POA6166,951,611,256,51,5494
POA6167,1472,928,367,125,12406
POA6168,2078,1554,892,350,12086
POA6169,3082,1839,978,353,16888
POA6170,743,342,118,17,8383
POA6171,1758,939,518,67,17154
POA6172,990,443,219,99,5991
POA6173,826,279,105,17,5968
POA6174,295,129,60,11,2690
POA6175,287,127,56,18,1964
POA6176,114,83,15,12,958
POA6180,342,271,144,23,3098
POA6181,58,27,3,0,248
POA6182,0,0,0,0,0
POA6207,102,57,8,6,575
POA6208,913,850,501,170,5724
POA6209,167,152,88,18,900
POA6210,6204,5380,3193,1176,35557
POA6211,747,684,296,50,4079
POA6213,69,61,19,6,315
POA6214,54,47,12,4,284
POA6215,374,270,141,51,1943
POA6218,46,31,10,9,219
POA6219,64,34,12,5,273
POA6220,292,241,133,56,1924
POA6221,28,14,0,0,152
POA6223,12,0,4,0,82
POA6224,106,63,29,8,561
POA6225,695,535,249,79,3943
POA6226,96,54,7,3,458
POA6227,60,39,19,0,369
POA6228,5,5,5,6,52
POA6229,21,23,8,4,96
POA6230,3561,2523,1128,409,21802
POA6232,699,489,292,152,5193
POA6233,1654,1131,423,85,9654
POA6236,244,171,48,13,1165
POA6237,306,202,59,7,1348
POA6239,422,347,154,39,2199
POA6240,16,19,17,0,90
POA6243,3,12,0,0,35
POA6244,149,102,61,16,742
POA6251,31,23,7,0,146
POA6252,14,7,4,0,68
POA6253,82,107,38,7,403
POA6254,65,36,17,0,258
POA6255,456,501,195,32,2307
POA6256,52,36,15,0,232
POA6258,513,376,164,46,2755
POA6260,142,85,46,22,688
POA6262,109,65,23,4,373
POA6271,312,229,84,18,1617
POA6275,167,211,85,12,804
POA6280,2514,2170,1106,363,14839
POA6281,772,716,356,65,4791
POA6282,202,171,44,9,942
POA6284,240,149,45,7,1531
POA6285,914,704,219,87,5864
POA6286,103,64,17,3,475
POA6288,53,46,16,3,302
POA6290,229,262,128,40,988
POA6302,350,388,195,52,1688
POA6304,150,173,71,25,791
POA6306,69,52,23,9,388
POA6308,125,118,54,9,677
POA6309,25,33,6,3,141
POA6311,65,42,25,5,271
POA6312,349,277,144,75,2123
POA6313,19,15,8,0,102
POA6315,140,132,53,7,752
POA6316,32,40,12,0,186
POA6317,235,159,87,34,1571
POA6318,42,40,15,0,215
POA6320,45,22,7,0,214
POA6321,31,22,9,5,188
POA6322,19,21,10,3,112
POA6323,118,106,37,0,473
POA6324,344,294,122,54,1795
POA6326,48,43,9,0,245
POA6327,22,14,11,3,121
POA6328,47,20,15,0,201
POA6330,3363,2713,1326,494,18546
POA6333,783,682,333,80,3553
POA6335,65,34,8,6,304
POA6336,24,17,0,0,127
POA6337,41,15,3,0,231
POA6338,60,40,16,3,303
POA6341,10,6,3,0,93
POA6343,13,13,6,0,110
POA6346,73,26,9,0,391
POA6348,91,78,48,3,533
POA6350,25,28,11,0,150
POA6351,5,3,0,0,27
POA6352,13,9,0,0,74
POA6353,56,29,15,6,327
POA6355,24,14,5,0,184
POA6356,9,5,0,0,50
POA6357,5,7,0,0,33
POA6358,5,4,4,0,44
POA6359,28,17,12,3,181
POA6361,15,9,0,0,57
POA6363,0,0,0,0,22
POA6365,40,29,7,3,226
POA6367,25,15,10,0,123
POA6368,0,3,9,0,40
POA6369,50,23,29,20,268
POA6370,44,17,14,7,181
POA6372,11,11,5,0,39
POA6373,3,5,0,0,32
POA6375,56,56,27,16,360
POA6383,99,103,39,19,470
POA6384,0,0,0,0,9
POA6385,5,4,0,0,9
POA6386,19,9,0,0,68
POA6390,148,100,34,7,748
POA6391,72,51,30,7,470
POA6392,43,21,8,7,177
POA6393,13,5,0,0,42
POA6394,42,36,18,5,240
POA6395,113,70,50,27,639
POA6396,41,16,9,3,178
