POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6063,4634,4517,9150,366,353,717,19,17,30,25,20,43,29,24,50,9,12,25,1330,1394,2722,7,5,6,3,9,16,0,0,5,0,0,0,1422,1473,2893,269,302,574,58,39,93,2114,2159,4275,361,330,689,7107,7007,14116
POA6064,9490,9533,19023,463,435,899,51,45,95,58,60,113,34,41,76,12,11,20,2936,2940,5877,13,8,20,11,8,22,6,4,3,0,5,3,3115,3112,6227,551,684,1236,112,83,203,4241,4317,8560,815,766,1580,14541,14617,29161
POA6065,19510,20164,39674,1364,1536,2903,135,136,261,119,145,265,128,128,263,44,44,89,7283,7826,15113,22,12,35,34,30,69,10,16,27,8,7,15,7781,8355,16133,1019,1212,2233,204,178,381,10374,11277,21653,1285,968,2260,31174,32415,63588
POA6066,6135,6133,12269,415,443,854,26,35,61,16,27,46,38,35,76,3,7,11,1350,1393,2743,9,9,15,16,13,23,0,0,3,4,4,5,1461,1528,2986,208,264,474,48,42,96,2134,2271,4405,390,321,712,8666,8724,17391
POA6067,10,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,0,0,0,0,0,0,8,5,14,0,0,3,16,22,40
POA6068,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10
POA6069,11622,12042,23665,1138,1273,2405,136,165,298,156,159,316,149,156,308,48,38,83,5508,6221,11721,22,14,36,40,39,80,23,27,49,0,0,0,6083,6813,12896,571,693,1262,171,156,321,7959,8936,16891,1108,915,2025,20688,21892,42586
POA6070,1187,1194,2385,62,60,127,14,10,14,0,9,9,9,3,19,3,0,7,351,384,737,0,4,7,3,3,6,0,0,0,0,0,0,381,413,794,46,48,91,4,11,15,500,525,1029,61,64,127,1751,1787,3538
POA6071,1163,1208,2372,45,31,78,8,4,9,7,6,7,9,4,10,0,0,0,289,323,615,0,0,6,0,0,0,0,3,5,0,0,0,309,347,655,27,32,51,5,0,8,385,410,794,98,68,167,1641,1687,3329
POA6072,271,279,546,8,14,22,0,0,0,3,3,9,0,4,5,0,0,0,82,85,166,0,0,0,4,0,4,0,0,0,0,0,0,87,91,181,3,7,9,6,0,6,102,104,209,24,9,33,401,392,792
POA6073,923,1015,1937,90,113,201,11,15,31,6,7,15,8,8,12,4,4,6,291,344,637,0,7,4,0,0,3,0,0,0,0,0,0,328,385,710,26,26,53,12,4,13,449,531,974,76,71,148,1446,1617,3066
POA6074,346,327,671,23,30,48,8,4,7,5,0,3,0,0,0,0,0,0,74,78,160,0,0,0,4,5,5,0,0,0,0,0,0,89,89,181,8,7,11,0,3,6,123,125,243,23,16,36,490,468,959
POA6076,7234,7409,14638,574,550,1120,30,30,56,41,41,84,43,45,89,16,11,28,1911,2085,3997,5,3,15,21,22,41,4,3,7,0,4,3,2065,2245,4315,172,201,371,48,49,97,2855,3046,5906,467,399,865,10558,10848,21406
POA6077,520,498,1011,18,25,42,0,0,5,0,0,0,0,0,3,0,0,0,216,201,421,0,0,3,0,0,0,0,0,0,0,0,0,223,208,434,9,13,19,6,5,12,250,252,502,39,38,76,806,784,1587
POA6078,327,286,606,9,15,29,6,3,6,5,6,4,0,0,0,0,0,0,96,82,174,0,0,0,0,0,0,0,0,0,0,0,0,104,86,193,8,4,13,4,0,3,126,114,236,38,28,61,486,422,905
POA6079,11,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,4,7,0,0,0,16,10,30
POA6081,1578,1568,3143,117,130,251,10,14,23,3,3,14,12,9,24,0,0,0,458,479,937,4,5,5,0,3,4,0,0,0,0,0,0,486,512,996,31,23,54,11,16,25,645,690,1329,112,75,190,2324,2330,4657
POA6082,1049,1041,2091,112,109,218,6,5,14,0,9,10,9,9,16,0,0,7,300,321,623,0,0,4,3,0,8,0,0,0,0,0,0,328,351,679,16,13,26,9,9,11,459,482,939,122,88,203,1635,1604,3234
POA6083,1176,1161,2337,31,32,63,3,5,7,10,13,27,4,4,8,0,0,0,333,385,716,0,4,5,5,3,13,0,0,5,0,0,0,365,417,781,10,20,29,14,7,19,420,477,889,124,77,201,1723,1717,3436
POA6084,2578,2570,5144,139,158,295,29,18,47,21,20,40,41,32,71,7,14,23,1081,1032,2112,3,3,8,12,6,14,13,4,17,0,0,0,1205,1134,2339,60,41,97,34,18,41,1435,1346,2780,360,272,630,4377,4179,8557
POA6090,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,4,14,0,0,0,0,0,0,11,4,13,4,0,4,17,4,21
POA6100,3043,2961,6005,419,429,851,93,74,166,89,75,161,70,70,144,22,16,35,2431,2300,4731,10,15,27,11,12,24,10,8,12,0,0,0,2729,2563,5298,894,951,1849,66,50,121,4117,3998,8110,520,357,878,7680,7317,14994
POA6101,3772,3867,7640,421,423,848,57,51,103,78,73,153,56,47,104,24,22,47,2396,2328,4721,4,4,10,15,12,32,7,3,14,0,0,0,2643,2538,5183,659,695,1357,82,48,133,3808,3706,7507,608,457,1062,8184,8026,16216
POA6102,2132,2330,4462,399,328,726,53,48,99,49,42,92,48,52,94,17,22,35,1941,1815,3756,4,3,6,11,4,21,10,10,20,4,4,3,2137,1989,4131,1368,1042,2409,67,63,131,3972,3431,7401,638,816,1454,6747,6577,13318
POA6103,2056,1947,4001,170,193,368,67,58,128,57,55,113,58,40,97,22,18,39,1872,1765,3635,12,7,17,27,22,43,6,9,9,3,0,0,2117,1977,4089,504,551,1058,57,44,98,2853,2762,5613,392,281,677,5303,4992,10292
POA6104,3596,3517,7110,356,333,691,71,53,123,38,27,64,54,43,94,27,29,53,1864,1791,3655,9,5,19,12,17,27,4,6,14,0,0,0,2077,1979,4056,467,465,935,93,90,177,2990,2866,5859,679,589,1274,7269,6978,14247
POA6105,3645,3721,7367,343,385,734,55,55,105,49,41,86,40,53,91,33,40,71,2088,2073,4169,5,9,14,20,22,38,6,9,17,0,0,0,2295,2294,4592,652,684,1329,87,60,154,3382,3429,6810,568,497,1067,7595,7644,15239
POA6106,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,7,0,5,5,0,5,12,0,16
POA6107,11049,11064,22107,1546,1462,3010,172,130,302,119,105,227,114,107,222,47,50,95,5245,4937,10188,21,20,40,38,32,69,11,20,30,3,6,16,5776,5403,11178,2682,2750,5436,236,160,396,10238,9783,20012,1474,1223,2699,22758,22068,44820
POA6108,7015,7207,14223,532,548,1080,57,58,118,50,49,92,43,29,78,18,29,45,2145,2172,4308,5,7,12,21,19,37,0,5,4,4,3,6,2336,2365,4709,504,604,1102,73,54,126,3445,3569,7016,528,474,1007,10990,11251,22240
POA6109,3460,3365,6824,298,264,567,48,41,90,38,17,52,38,35,68,13,18,33,1374,1316,2687,3,9,12,11,6,20,0,0,0,0,0,0,1527,1439,2970,348,475,827,56,35,95,2233,2221,4452,514,412,926,6201,5998,12202
POA6110,12271,12335,24610,1154,1184,2337,159,146,303,78,91,163,69,74,136,41,42,85,4528,4803,9326,29,34,65,37,35,71,10,11,20,6,5,11,4938,5242,10184,803,987,1791,163,122,288,7064,7540,14603,1223,1197,2428,20555,21073,41629
POA6111,7059,7002,14057,460,451,911,39,56,91,36,32,75,40,44,81,15,15,32,2440,2588,5028,12,13,24,14,19,36,4,6,6,0,0,0,2607,2771,5378,209,247,456,98,90,191,3378,3559,6932,717,660,1373,11145,11219,22368
POA6112,16718,17012,33733,1497,1651,3144,188,205,391,165,189,357,166,169,337,98,104,199,9184,9789,18970,25,31,62,73,67,140,21,33,44,0,0,11,9925,10589,20506,1286,1657,2944,267,237,507,12969,14131,27102,1925,1570,3503,31618,32715,64332
POA6121,1049,1000,2046,30,18,42,6,7,7,0,0,0,4,3,3,0,0,0,345,371,717,5,0,0,0,0,0,0,0,0,0,0,0,356,377,734,9,14,22,7,12,19,401,422,818,70,33,105,1513,1458,2973
POA6122,5563,5556,11115,624,749,1376,43,56,101,28,34,64,40,55,91,21,22,43,2493,2825,5318,12,12,22,17,15,34,0,0,0,0,0,0,2652,3013,5664,193,268,463,76,69,144,3540,4111,7652,476,383,853,9576,10049,19625
POA6123,526,497,1017,52,41,99,3,4,6,0,4,7,7,8,17,6,6,3,324,373,700,0,0,0,5,0,0,0,0,0,0,0,0,336,397,735,10,13,24,8,0,13,412,451,861,86,63,155,1022,1015,2035
POA6124,381,389,767,16,16,34,0,0,0,4,3,11,0,0,0,0,0,0,106,115,227,0,0,0,0,0,5,0,0,0,0,0,0,113,122,243,4,4,12,0,4,0,139,151,286,39,39,76,555,578,1128
POA6125,966,982,1945,48,56,103,12,9,19,8,11,19,4,0,5,0,0,5,350,381,734,3,0,3,0,6,3,0,0,0,0,0,0,376,403,785,18,10,26,6,5,12,452,478,925,474,99,581,1892,1556,3448
POA6126,90,71,160,0,0,8,4,0,4,0,0,0,0,0,0,0,0,0,36,25,59,0,0,0,0,0,0,0,0,0,0,0,0,40,31,68,0,0,5,0,0,0,41,31,78,12,6,25,144,113,257
POA6147,4228,4275,8504,317,314,632,41,38,80,33,28,63,26,27,50,13,6,28,1531,1519,3049,3,7,10,14,17,26,0,5,7,9,3,10,1676,1652,3331,446,469,914,55,39,97,2494,2472,4965,348,295,641,7069,7046,14112
POA6148,5021,5420,10439,580,621,1202,49,61,115,52,42,96,41,46,87,19,23,41,1971,2089,4055,5,7,13,23,21,47,4,4,12,0,0,0,2165,2294,4463,610,673,1287,58,58,120,3421,3650,7067,311,282,597,8748,9349,18099
